 	è	che	è	entrato	da	qui	</S>
è	0.838096	0.0957329	0.0279638	0.0083263	0.0069813	0.00778504	0.0151146
n	0.299018	0.393778	0.0503538	0.0659634	0.0805335	0.0740393	0.0363144
a	0.232136	0.452397	0.173889	0.0409937	0.0163825	0.0339527	0.0502488
m	0.0723337	0.605946	0.133828	0.0671147	0.0237171	0.0458068	0.0512541
b	0.0315971	0.0299095	0.164476	0.410312	0.0736336	0.0387699	0.251301
ì	0.0492488	0.172755	0.557909	0.155927	0.0230886	0.0174667	0.0236048
k	0.0586272	0.171472	0.555321	0.17822	0.0193822	0.00437616	0.0126008
e	0.113924	0.121888	0.294931	0.257451	0.0639652	0.0544661	0.0933746
a	0.0146607	0.044211	0.306704	0.557973	0.0462131	0.0103916	0.019847
p	0.0189632	0.0240055	0.071975	0.683685	0.143859	0.0204328	0.0370799
ò	0.00734636	0.00794165	0.032506	0.292312	0.297829	0.204364	0.157701
t	0.00754659	0.020788	0.0234593	0.237574	0.375865	0.205697	0.129071
t	0.00477704	0.00535233	0.01232	0.165149	0.191834	0.447934	0.172634
u	0.00753907	0.0104321	0.0128801	0.123762	0.339701	0.310172	0.195514
</S>	0.00219381	0.0029722	0.00294231	0.0190417	0.0441871	0.749637	0.179026
