 	non	mangiare	la	sera	</S>
m	0.951375	0.0261869	0.00626577	0.00638716	0.00978467
i	0.290182	0.19317	0.0724192	0.104253	0.339975
f	0.211663	0.325781	0.0825178	0.107536	0.272501
a	0.0247503	0.211574	0.586225	0.0584235	0.119028
i	0.0718211	0.261593	0.437602	0.0898467	0.139137
o	0.0504052	0.0779259	0.528049	0.132347	0.211273
v	0.0570054	0.0781979	0.383373	0.222254	0.25917
r	0.00364007	0.0178846	0.156126	0.741484	0.0808651
à	0.0103639	0.0247804	0.107871	0.583101	0.273883
i	0.00409044	0.0128751	0.0494619	0.75776	0.175813
</S>	0.00970579	0.0100148	0.0309697	0.702558	0.246752
