 	non	sapeva	dove	a	stare	</S>
e	0.89923	0.0705101	0.00835131	0.00514533	0.00586905	0.0108939
n	0.546889	0.374363	0.00893613	0.0105354	0.0230215	0.0362544
ì	0.189405	0.418966	0.0453371	0.037645	0.120567	0.188081
s	0.199815	0.747999	0.0227669	0.00612894	0.0123896	0.0109014
s	0.129815	0.347838	0.329719	0.0710168	0.0373361	0.0842758
e	0.0478572	0.255221	0.446852	0.15132	0.0403956	0.0583539
r	0.0414612	0.194766	0.513392	0.0701139	0.0373255	0.142941
e	0.0153787	0.024873	0.488845	0.242746	0.0268147	0.201343
p	0.0178749	0.0387314	0.522651	0.241081	0.0344005	0.145261
u	0.00321647	0.00604682	0.0975112	0.393787	0.396612	0.102826
n	0.00836032	0.0122964	0.120796	0.514462	0.147515	0.19657
a	0.00281931	0.00552271	0.0417911	0.27596	0.573673	0.100234
s	0.00214446	0.00243047	0.0112844	0.116125	0.726424	0.141592
t	0.000781962	0.000945302	0.00755998	0.0927195	0.77055	0.127443
a	0.000928711	0.00104815	0.00699162	0.0482529	0.760379	0.1824
s	0.00294809	0.0027087	0.00913011	0.0739063	0.60618	0.305127
ì	0.000687183	0.000770188	0.0043729	0.0609051	0.60876	0.324505
</S>	0.00221658	0.00215776	0.0129738	0.0538135	0.54609	0.382749
