 	non	aveva	dove	a	stare	</S>
e	0.913885	0.0562042	0.00907096	0.00485037	0.00560258	0.0103866
n	0.590786	0.305642	0.0149095	0.0125813	0.0270104	0.04907
ì	0.143776	0.325824	0.0559589	0.053962	0.164511	0.255968
c	0.184029	0.712788	0.0410025	0.0120355	0.0251669	0.0249785
h	0.163978	0.483492	0.180041	0.0646492	0.0252083	0.0826324
e	0.0999582	0.169001	0.36943	0.184654	0.0744147	0.102542
p	0.0314078	0.103406	0.648336	0.0823381	0.0305714	0.10394
u	0.00827418	0.0173402	0.197041	0.34845	0.178302	0.250592
s	0.00821805	0.0110477	0.260268	0.469811	0.0672003	0.183455
t	0.00273098	0.00358514	0.0459719	0.291783	0.533016	0.122913
a	0.00208122	0.00241999	0.0247438	0.22989	0.627383	0.113482
s	0.00125328	0.00153907	0.00673971	0.0628815	0.780227	0.14736
ì	0.000667143	0.000920819	0.00532457	0.0798568	0.694494	0.218737
</S>	0.0011477	0.00152513	0.00899146	0.0287384	0.667636	0.291962
