 	sta	seduta	nel	giardino	</S>
s	0.93093	0.0363704	0.00789774	0.00963508	0.0151671
t	0.716713	0.193981	0.014556	0.0266175	0.0481325
è	0.298645	0.431412	0.0242786	0.0396832	0.205981
i	0.620306	0.351544	0.00845816	0.0112556	0.00843623
k	0.301089	0.558912	0.0362369	0.036162	0.0675997
a	0.12125	0.434249	0.0844547	0.0456163	0.314431
s	0.184244	0.577987	0.0568223	0.0676177	0.113329
i	0.0725122	0.158321	0.29104	0.0757791	0.402348
m	0.164653	0.280136	0.346364	0.0521583	0.156689
m	0.0152636	0.0692151	0.507276	0.208861	0.199384
è	0.0137355	0.0672347	0.524165	0.137625	0.257239
n	0.0467893	0.101926	0.672942	0.0708418	0.107501
i	0.109949	0.167946	0.353028	0.111762	0.257316
s	0.0318416	0.0287476	0.395748	0.243556	0.300107
t	0.0158076	0.0166449	0.270568	0.39552	0.301459
o	0.00923778	0.00970148	0.196779	0.452405	0.331877
n	0.0184149	0.0143857	0.0768118	0.383534	0.506854
g	0.00134268	0.00313314	0.0858749	0.759239	0.150411
h	0.0135309	0.0131526	0.064442	0.487709	0.421165
i	0.00865784	0.00660318	0.0862951	0.499301	0.399143
a	0.0162948	0.0151569	0.0445864	0.455892	0.46807
r	0.010582	0.00822191	0.0329758	0.335038	0.613182
d	0.00277494	0.00179403	0.0331338	0.469051	0.493246
ì	0.000934931	0.000794917	0.0350145	0.591857	0.371398
n	0.00834635	0.00626292	0.0641259	0.401746	0.519519
o	0.00171118	0.0014431	0.0394794	0.55941	0.397956
</S>	0.0200257	0.0197688	0.0245191	0.281481	0.654205
