 	Marika	è	che	si	sposa	domani	</S>
M	0.950225	0.0246686	0.00574552	0.00379048	0.00393746	0.00370531	0.00792765
a	0.437765	0.0984322	0.0277876	0.0183457	0.0388363	0.183733	0.195101
r	0.205582	0.249716	0.0451674	0.0306483	0.0353654	0.160833	0.272688
ì	0.0690992	0.231654	0.190527	0.0723723	0.0277103	0.11925	0.289387
k	0.122213	0.59977	0.119284	0.0474298	0.0144852	0.0249255	0.0718929
a	0.0329113	0.287093	0.378387	0.129059	0.0186596	0.0576747	0.0962151
è	0.0559767	0.173276	0.539197	0.0769516	0.013223	0.03492	0.106455
n	0.0286249	0.133053	0.619568	0.0994164	0.0170579	0.0176154	0.0846636
a	0.0114725	0.116454	0.378069	0.259735	0.0553693	0.0470161	0.131883
r	0.0414293	0.0542707	0.183899	0.385212	0.0592483	0.038867	0.237074
m	0.00710553	0.0131547	0.183482	0.346032	0.127272	0.0972319	0.225721
a	0.0048167	0.0250107	0.209174	0.25907	0.220007	0.132538	0.149383
s	0.00825875	0.0127466	0.0594657	0.232238	0.285352	0.104475	0.297464
t	0.00352598	0.00744604	0.042438	0.161425	0.199826	0.420194	0.165144
ì	0.00509336	0.00901086	0.0315424	0.100037	0.251508	0.328262	0.274546
à	0.00170097	0.00429785	0.01297	0.0250154	0.052811	0.655428	0.247777
v	0.000973411	0.0022179	0.00906536	0.0138516	0.0280204	0.779847	0.166025
v	0.000655817	0.00217904	0.0211764	0.0316195	0.063577	0.724855	0.155938
r	0.0063028	0.00809221	0.0128864	0.0291123	0.100871	0.418609	0.424126
i	0.00325069	0.00549738	0.0204199	0.0353163	0.0507324	0.560743	0.324041
</S>	0.00159781	0.00181502	0.00486257	0.0105812	0.0229289	0.737505	0.22071
