 	non	ho	dove	d	andare	</S>
e	0.936107	0.0309085	0.0162284	0.00407542	0.00494627	0.00773491
n	0.65383	0.218979	0.0311941	0.0240974	0.0262363	0.0456636
è	0.127988	0.23162	0.0954407	0.112485	0.16968	0.262787
c	0.283056	0.57113	0.0692827	0.0177862	0.0275399	0.0312055
h	0.0886502	0.246042	0.412812	0.137995	0.0589946	0.0555062
o	0.0551371	0.109512	0.542216	0.146795	0.0807817	0.0655583
p	0.0189031	0.0563234	0.716588	0.12004	0.0302338	0.0579115
u	0.00579996	0.0137629	0.0620457	0.578909	0.151206	0.188276
è	0.00639833	0.00848685	0.0711357	0.672216	0.115196	0.126567
n	0.00469921	0.00885301	0.0522935	0.329214	0.492861	0.112079
a	0.00215626	0.00570275	0.0296076	0.268402	0.567954	0.126177
p	0.00293818	0.00294814	0.00598274	0.071455	0.706532	0.210144
à	0.000774535	0.00199855	0.00966828	0.174594	0.661516	0.151448
o	0.0020594	0.00246687	0.0128503	0.0470117	0.772215	0.163396
</S>	0.00724393	0.00646037	0.0131466	0.0986433	0.552396	0.32211
