 	mi	si	gonfiò	il	dito	</S>
m	0.904179	0.0645853	0.00834086	0.00609169	0.00779502	0.00900857
u	0.18788	0.179876	0.126084	0.0653626	0.0166891	0.424109
b	0.139212	0.222505	0.365962	0.0404754	0.0248632	0.206983
r	0.0249996	0.143687	0.342198	0.250068	0.127649	0.111399
i	0.0426332	0.138291	0.544787	0.17419	0.0446846	0.0554148
s	0.0333751	0.0974415	0.452207	0.351381	0.0233397	0.0422553
t	0.0304227	0.04023	0.226971	0.341283	0.0646393	0.296454
ì	0.0209476	0.0306399	0.1152	0.238404	0.169207	0.425602
o	0.0149439	0.0375358	0.260399	0.42828	0.198863	0.0599786
d	0.023343	0.0304397	0.110018	0.310159	0.420802	0.105238
à	0.0016539	0.00187289	0.0188721	0.0342857	0.840623	0.102693
t	0.00606128	0.0126526	0.033918	0.105481	0.720141	0.121746
t	0.00476776	0.00581287	0.0306335	0.0725328	0.694477	0.191776
i	0.0104647	0.0126789	0.0345815	0.0628134	0.446075	0.433386
l	0.0108372	0.00809702	0.0258063	0.0390724	0.384817	0.53137
o	0.00248421	0.0019407	0.0112805	0.0475493	0.694444	0.242302
</S>	0.0119819	0.00770192	0.0182722	0.0243642	0.422321	0.515359
