 	era	molto	stanco	</S>
ì	0.978819	0.00667728	0.00502507	0.00947899
o	0.726958	0.0405528	0.161114	0.0713753
n	0.679199	0.0614679	0.149903	0.109431
e	0.32854	0.316443	0.148498	0.206518
p	0.102519	0.386262	0.16283	0.348389
o	0.00967492	0.830853	0.0324465	0.127025
d	0.0278524	0.658616	0.0619207	0.251611
d	0.00593323	0.827647	0.0680012	0.0984183
h	0.00967313	0.554494	0.0540432	0.38179
ì	0.0171606	0.417414	0.123678	0.441747
s	0.0204055	0.198032	0.294921	0.486642
t	0.00972114	0.0875253	0.528857	0.373897
r	0.00616575	0.0740327	0.631707	0.288094
à	0.002616	0.0239149	0.759431	0.214038
k	0.00161488	0.0172215	0.864591	0.116573
k	0.00405864	0.0579315	0.731328	0.206682
o	0.0120422	0.0480322	0.617761	0.322164
</S>	0.0120997	0.038236	0.5912	0.358464
