 	le	ragazze	vogliono	guardate	</S>
t	0.964564	0.0159823	0.00996535	0.00355246	0.00593616
a	0.773765	0.0770962	0.039045	0.0418029	0.068291
k	0.701587	0.104617	0.0478115	0.053712	0.0922729
o	0.156516	0.495931	0.0615373	0.0441112	0.241904
r	0.407496	0.277281	0.0470749	0.0638546	0.204293
à	0.151369	0.439615	0.137751	0.0532871	0.217978
s	0.185139	0.689343	0.0655735	0.0225878	0.0373575
i	0.0941569	0.38024	0.0840285	0.124479	0.317095
a	0.142488	0.421183	0.253746	0.0813521	0.10123
t	0.16017	0.229705	0.213592	0.20039	0.196142
è	0.0264694	0.107112	0.153689	0.188934	0.523796
l	0.103666	0.128226	0.265935	0.0976845	0.404488
o	0.0201929	0.111583	0.265853	0.1198	0.482571
n	0.0978235	0.089533	0.0917657	0.296089	0.424789
e	0.0170395	0.124629	0.272308	0.0941895	0.491834
k	0.0591785	0.0438155	0.0501333	0.349313	0.49756
a	0.0111064	0.0751395	0.290249	0.230206	0.393299
n	0.0497087	0.036666	0.0458509	0.235727	0.632048
o	0.0085186	0.0198942	0.167769	0.384321	0.419497
n	0.0348855	0.0299565	0.0557902	0.233568	0.6458
i	0.00670539	0.00823769	0.0689649	0.533223	0.382869
m	0.0208231	0.0187026	0.0491753	0.367558	0.543741
m	0.00700615	0.0299512	0.20599	0.504744	0.252309
è	0.0052758	0.0116685	0.0502127	0.464808	0.468035
n	0.00431123	0.00482926	0.00996254	0.551068	0.429829
a	0.0225161	0.0185796	0.0343799	0.431947	0.492578
</S>	0.0117999	0.00903907	0.0497176	0.59455	0.334893
