 	dove	aveva	per	stare	non	aveva	</S>
p	0.902461	0.0614737	0.00762077	0.00573098	0.00570003	0.00575295	0.0112604
u	0.564903	0.131114	0.0678346	0.0179037	0.0196493	0.052404	0.146191
ì	0.409163	0.21063	0.0682628	0.0314769	0.0311474	0.0915505	0.157769
c	0.244281	0.606318	0.0421196	0.0276032	0.0161351	0.0171897	0.0463531
h	0.0742434	0.709766	0.162723	0.0115781	0.00454546	0.0124553	0.0246886
e	0.0921735	0.327473	0.385662	0.0763371	0.0727902	0.0205771	0.0249863
n	0.0295343	0.381267	0.463097	0.0443583	0.0148903	0.015009	0.0518442
a	0.0357429	0.195049	0.508546	0.113118	0.0390058	0.0196083	0.0889309
s	0.029714	0.103123	0.498997	0.16592	0.0420469	0.0307358	0.129464
t	0.0179797	0.0351332	0.304885	0.321824	0.125844	0.0285493	0.165786
a	0.0114945	0.0234712	0.152771	0.406144	0.199802	0.0354566	0.17086
s	0.0116407	0.0261596	0.11673	0.370143	0.284079	0.0339231	0.157324
ì	0.00718229	0.0126431	0.0683716	0.228739	0.282523	0.225288	0.175252
e	0.00634905	0.0234105	0.0590442	0.274627	0.328953	0.0957389	0.211878
n	0.0100773	0.0150081	0.0436453	0.144255	0.257054	0.255737	0.274223
ì	0.00327007	0.0114791	0.0480969	0.0917185	0.184094	0.569351	0.0919906
c	0.00403833	0.00981036	0.0236294	0.0620984	0.121409	0.599138	0.179876
h	0.0026211	0.00586397	0.0477417	0.0559588	0.0749654	0.731381	0.0814681
e	0.0169261	0.0377519	0.0437995	0.0780965	0.135477	0.388801	0.299147
</S>	0.0115123	0.0129961	0.00847744	0.0402676	0.0562131	0.438113	0.43242
