 	la	donna	pulisce	la	casa	l	uomo	no	</S>
e	0.929412	0.0373992	0.013189	0.00442383	0.00276246	0.002518	0.002443	0.00260589	0.00524622
j	0.549586	0.263441	0.0289047	0.0116323	0.00919166	0.00996012	0.0103854	0.0880175	0.0288813
i	0.151442	0.342701	0.160506	0.0228937	0.0253392	0.0156138	0.00866452	0.127262	0.145577
n	0.179751	0.569406	0.0451249	0.0340239	0.0203791	0.0103757	0.01129	0.089317	0.0403324
è	0.0905534	0.530415	0.100087	0.0277869	0.0303	0.0157177	0.00833151	0.0841218	0.112687
k	0.134119	0.777718	0.0304151	0.012204	0.012315	0.00384061	0.00433874	0.0138483	0.0112017
a	0.068156	0.261999	0.320806	0.147913	0.0322465	0.0138086	0.00764123	0.048761	0.0986688
p	0.0533997	0.383595	0.306043	0.0469141	0.0584391	0.0175886	0.0174971	0.0542743	0.0622484
u	0.0197673	0.11034	0.272613	0.350773	0.0416561	0.0321004	0.0108936	0.0571936	0.104664
l	0.0437309	0.187136	0.44008	0.0970128	0.0517819	0.023696	0.0143408	0.0500411	0.0921809
i	0.0148457	0.0785726	0.25552	0.358345	0.0756919	0.0471421	0.0175077	0.0707435	0.081631
z	0.0365889	0.139983	0.358425	0.162064	0.0620658	0.0336899	0.0160103	0.0557042	0.13547
z	0.008944	0.0698439	0.250857	0.349735	0.0840974	0.0598977	0.0362967	0.0789985	0.0613296
è	0.0234823	0.0872703	0.325056	0.280258	0.0535095	0.0545466	0.0296097	0.0448066	0.101461
i	0.0152757	0.0552071	0.378698	0.42662	0.0464916	0.0280451	0.0105294	0.00898627	0.0301469
o	0.0189753	0.0663176	0.204061	0.471934	0.121458	0.0525555	0.0150277	0.0211955	0.0284743
s	0.0275002	0.059574	0.0764359	0.357085	0.217852	0.13563	0.0310649	0.0411835	0.0536743
p	0.012615	0.0230791	0.0657596	0.224302	0.232305	0.189507	0.0503705	0.0423088	0.159754
ì	0.0107046	0.036196	0.0835401	0.235236	0.228335	0.125443	0.052173	0.0353041	0.193069
t	0.00748514	0.0269338	0.0732061	0.28415	0.254361	0.209692	0.0625874	0.00844364	0.0731414
i	0.00940949	0.0205803	0.047026	0.239107	0.290586	0.157267	0.0829328	0.0265556	0.126536
o	0.00840559	0.02613	0.0269206	0.0919192	0.28882	0.303363	0.168611	0.019709	0.0661218
à	0.00956194	0.0168259	0.0175913	0.0579442	0.22384	0.334009	0.198469	0.0378605	0.103899
n	0.00626606	0.0167221	0.0246366	0.0887325	0.220247	0.304463	0.211482	0.0249663	0.102485
t	0.00573204	0.00990774	0.0657901	0.115942	0.138335	0.173045	0.168619	0.1174	0.205229
r	0.009833	0.0121271	0.0124333	0.0232764	0.105001	0.191118	0.177246	0.126643	0.342322
e	0.00610185	0.00991561	0.00915104	0.0188427	0.0898416	0.171581	0.22243	0.137489	0.334647
p	0.00790802	0.0115561	0.010774	0.0187291	0.0688065	0.134808	0.202809	0.186758	0.35785
o	0.00314562	0.00707169	0.0349732	0.0808066	0.102532	0.13873	0.278804	0.189105	0.164833
d	0.0100883	0.0236277	0.0190684	0.0281221	0.0602713	0.0949678	0.139366	0.24131	0.383178
è	0.00239268	0.00753656	0.0319769	0.0783785	0.0969653	0.126704	0.350766	0.173627	0.131653
g	0.00473408	0.0137939	0.0155364	0.0353635	0.0792333	0.127237	0.155545	0.305924	0.262634
g	0.00491733	0.00824114	0.0303929	0.0813955	0.102628	0.126287	0.14846	0.263789	0.233889
h	0.0181137	0.018506	0.0214325	0.0324158	0.0701358	0.0792052	0.0999134	0.268258	0.39202
e	0.00952449	0.0105837	0.0249492	0.0334638	0.0381305	0.0423529	0.0785622	0.258239	0.504194
</S>	0.0115964	0.00680776	0.0146131	0.0200637	0.0423221	0.0455471	0.0593886	0.411027	0.388634
