 	questo	muro	vuole	uno	specchio	</S>
c	0.718101	0.211276	0.0233359	0.0108178	0.0134713	0.0229982
ì	0.295192	0.302415	0.0519925	0.0706091	0.0838297	0.195962
t	0.848596	0.0737737	0.019415	0.0165701	0.018633	0.0230125
t	0.475525	0.376783	0.0895903	0.0163616	0.0261623	0.0155781
o	0.22159	0.391084	0.269236	0.0399365	0.0477207	0.0304323
t	0.199226	0.506058	0.120409	0.0322098	0.0507413	0.091356
ì	0.084176	0.132593	0.311594	0.0836074	0.068582	0.319448
c	0.154719	0.465596	0.300054	0.0085239	0.0165003	0.0546066
h	0.079354	0.364042	0.27503	0.0411077	0.0740415	0.166424
o	0.0799381	0.189628	0.344516	0.154247	0.0735261	0.158145
t	0.0384783	0.0977755	0.565201	0.0309977	0.0336321	0.233916
è	0.0198131	0.0241224	0.116319	0.230101	0.0907082	0.518936
l	0.0335485	0.0418516	0.493933	0.0773518	0.0993387	0.253976
i	0.0119679	0.0691617	0.149003	0.298295	0.173553	0.29802
è	0.0168431	0.0172371	0.0565786	0.232585	0.303062	0.373694
n	0.00591645	0.00718645	0.0376994	0.162609	0.539213	0.247376
a	0.00305574	0.0128022	0.0389479	0.387778	0.389564	0.167851
n	0.00779539	0.00692554	0.0102406	0.130692	0.512103	0.332244
j	0.00199845	0.00585565	0.0186806	0.313904	0.490954	0.168608
a	0.00429716	0.00489688	0.0129137	0.252881	0.569557	0.155454
l	0.00488346	0.00516752	0.00557783	0.281311	0.540572	0.162488
ì	0.0012873	0.00431149	0.015371	0.378736	0.474466	0.125828
</S>	0.00276757	0.0041021	0.0121521	0.0734154	0.70698	0.200583
