 	lo	sentii	che	viene	</S>
t	0.978935	0.0127994	0.00256127	0.00203575	0.00366809
o	0.713666	0.187593	0.0112193	0.0380188	0.0495034
n	0.409271	0.44295	0.027715	0.0532621	0.0668013
ì	0.105953	0.289942	0.218937	0.0965027	0.288666
k	0.260666	0.643436	0.036503	0.0234092	0.0359863
u	0.0351187	0.241981	0.130948	0.0905874	0.501365
s	0.0493431	0.107189	0.662459	0.0989728	0.0820354
a	0.0290274	0.0373256	0.460632	0.150627	0.322388
n	0.0388387	0.0574919	0.313335	0.379004	0.21133
a	0.00438181	0.0147919	0.299468	0.527771	0.153588
r	0.017322	0.0199606	0.043454	0.5508	0.368463
t	0.00160095	0.00182648	0.0202832	0.848972	0.127317
i	0.00493485	0.00596181	0.0259779	0.746059	0.217067
</S>	0.00550313	0.00443189	0.014827	0.512798	0.46244
