 	la	casa	la	costruisce	il	mastro	</S>
o	0.920951	0.0564218	0.0072446	0.00306153	0.00294591	0.00308846	0.00628721
s	0.657162	0.22843	0.0203693	0.00835782	0.00873695	0.0405653	0.0363793
p	0.160878	0.582298	0.043312	0.0181716	0.0079689	0.0446968	0.142675
ì	0.241865	0.536417	0.039925	0.0184395	0.0155428	0.0552806	0.0925298
t	0.200732	0.722742	0.0408509	0.00767118	0.00558053	0.013017	0.00940609
i	0.0644551	0.415761	0.323334	0.125703	0.0168925	0.0272221	0.0266321
o	0.0688763	0.514481	0.205322	0.073025	0.0206317	0.0414453	0.0762187
f	0.0451611	0.115609	0.56109	0.153525	0.0228286	0.0317727	0.0700126
a	0.0153827	0.0951951	0.41661	0.314144	0.048931	0.0229252	0.0868113
b	0.0432745	0.090294	0.473149	0.19675	0.0308278	0.0417274	0.123977
b	0.0111284	0.142729	0.340331	0.326513	0.0776747	0.0497689	0.0518547
r	0.0291828	0.209893	0.458557	0.168518	0.0629758	0.0137888	0.0570838
i	0.0175747	0.107753	0.510247	0.174667	0.0993606	0.0275746	0.0628233
k	0.0101729	0.0351808	0.461032	0.400383	0.0702078	0.00881094	0.0142129
è	0.016721	0.0467983	0.198556	0.25075	0.151307	0.0353722	0.300495
i	0.00741119	0.0284515	0.282072	0.377402	0.259693	0.0077824	0.0371881
o	0.0111373	0.0154644	0.133458	0.39132	0.392209	0.0202359	0.0361753
m	0.0150618	0.0172262	0.0672836	0.26886	0.440284	0.056737	0.134548
à	0.00913373	0.0226536	0.11473	0.253517	0.327766	0.0971489	0.17505
s	0.00766375	0.0104708	0.0448721	0.148988	0.293574	0.33149	0.162941
c	0.00940378	0.0133952	0.054634	0.173311	0.253406	0.205761	0.290089
i	0.00720054	0.0167428	0.0503227	0.154036	0.235276	0.243592	0.292829
a	0.0124518	0.0126022	0.0191926	0.0358508	0.0868834	0.362526	0.470493
</S>	0.00922174	0.009232	0.00900707	0.0169856	0.0453531	0.571751	0.338449
