 	noi	ti	amiamo	a	te	di	pocchi	giorni	e	non	ti	possiamo	dimenticare	mai	di	questo	che	trocammo	bene	a	te	</S>
e	0.809328	0.0537006	0.0364117	0.0224219	0.00882622	0.00456385	0.00371857	0.00382054	0.00381351	0.00372623	0.00372951	0.00397997	0.0037543	0.00375366	0.00372899	0.00373079	0.0037139	0.00370869	0.00370754	0.00372928	0.00413959	0.00799245
m	0.536538	0.204668	0.0561731	0.0294842	0.00934914	0.00471897	0.00534166	0.00546545	0.00770595	0.00742645	0.00804136	0.00325193	0.00653435	0.00633332	0.00720941	0.00850501	0.00799354	0.0101973	0.00850187	0.0237246	0.023721	0.0191147
ì	0.174337	0.192826	0.211326	0.0639881	0.00879494	0.00683618	0.00757841	0.0098458	0.019418	0.019374	0.0145915	0.00562577	0.0184057	0.0179994	0.0157241	0.0120895	0.0134231	0.0163736	0.0109842	0.0202954	0.0354259	0.104738
s	0.338391	0.344894	0.112763	0.0650266	0.0134774	0.0114058	0.00509652	0.00567904	0.00804144	0.00658967	0.00430995	0.00767247	0.00930434	0.00807658	0.00562686	0.00431804	0.00408915	0.00725534	0.00717324	0.00836504	0.0153342	0.00710979
e	0.232679	0.20792	0.131809	0.0869119	0.0355413	0.0247905	0.0123492	0.0211804	0.02842	0.0187797	0.0128359	0.0136348	0.0229098	0.023314	0.0156813	0.0111403	0.0122855	0.0153394	0.0146446	0.018479	0.024523	0.0148302
g	0.109409	0.32836	0.142826	0.0614719	0.0251773	0.0216163	0.0118762	0.0201145	0.0279802	0.0197443	0.0116134	0.0154526	0.0272544	0.0258416	0.0153232	0.00978845	0.0109701	0.0164806	0.015833	0.0190031	0.0341516	0.0297123
a	0.0433883	0.091379	0.128474	0.138411	0.0923772	0.0559843	0.0141333	0.0241903	0.0314721	0.0268166	0.0297646	0.0211613	0.0205098	0.0244645	0.0265997	0.0244603	0.0299391	0.0183067	0.0128264	0.0196905	0.0248384	0.100813
p	0.044999	0.184289	0.249984	0.0828574	0.0256915	0.0210238	0.0138071	0.0272745	0.0369501	0.0268193	0.017444	0.0179698	0.0336577	0.0339057	0.0214752	0.0128693	0.0154465	0.0161426	0.0145581	0.0219548	0.0372088	0.0436711
ù	0.0161084	0.054326	0.101504	0.150121	0.151986	0.0902721	0.0202213	0.0239041	0.0231764	0.023014	0.024775	0.0268081	0.0195159	0.0223704	0.0244865	0.0251075	0.0279987	0.0226597	0.020532	0.0151239	0.0390967	0.076893
m	0.0604047	0.23325	0.251244	0.124872	0.0420372	0.0247306	0.0151885	0.01953	0.0208653	0.0199141	0.0180916	0.0186264	0.0208062	0.0208946	0.0190053	0.0155725	0.0173306	0.0145521	0.0124904	0.00486267	0.0100101	0.0157214
e	0.014029	0.0241373	0.0440785	0.102331	0.0908034	0.0605815	0.0261165	0.0354289	0.024292	0.0258543	0.0519643	0.0421113	0.0137058	0.0287643	0.0363827	0.0603337	0.0593403	0.0201043	0.0176691	0.008905	0.0158102	0.197257
s	0.0144648	0.075257	0.187149	0.248895	0.126818	0.0663007	0.0126004	0.0244195	0.0245121	0.0206062	0.0186238	0.0256328	0.0218381	0.0229695	0.0191804	0.0139874	0.0172331	0.0116685	0.00974326	0.0077394	0.0132055	0.0171553
e	0.0168373	0.03314	0.0872268	0.172252	0.138729	0.0932233	0.0251744	0.031588	0.030585	0.030109	0.0319256	0.0393128	0.0264564	0.0308988	0.0318859	0.0289956	0.0380004	0.0250524	0.0215098	0.0128095	0.0168638	0.0374239
s	0.0153956	0.0407852	0.114473	0.191395	0.158687	0.0877115	0.0226787	0.0216206	0.0242677	0.0268344	0.0213502	0.0283923	0.0283543	0.0288373	0.025794	0.0206533	0.0239793	0.0256202	0.0236636	0.0111479	0.0213761	0.0369825
è	0.0150063	0.0216511	0.0474266	0.114229	0.155111	0.124413	0.0271309	0.0341558	0.0271726	0.0281514	0.0317824	0.0554974	0.0233855	0.0300847	0.0327253	0.0323348	0.0438436	0.027799	0.0257913	0.012779	0.0208669	0.0686618
