 	da	da	un	famoso	poeta	</S>
p	0.934985	0.0424181	0.00507318	0.00448127	0.0042958	0.0087468
u	0.574188	0.189393	0.0332072	0.0200225	0.0596162	0.123574
s	0.220063	0.574403	0.0322517	0.0231942	0.0821415	0.0679466
s	0.0680209	0.35364	0.241369	0.0319777	0.0715666	0.233426
è	0.0975196	0.500815	0.164675	0.0410425	0.0753208	0.120627
n	0.0941219	0.508158	0.302805	0.0325229	0.0218378	0.0405547
a	0.0473833	0.352104	0.382433	0.0306768	0.048502	0.1389
f	0.0406547	0.136858	0.675793	0.061548	0.0298015	0.0553443
a	0.0166975	0.059385	0.397462	0.208884	0.114828	0.202743
m	0.0382835	0.0968335	0.261405	0.414259	0.0586075	0.130611
ò	0.0143114	0.0312526	0.152258	0.321092	0.220787	0.260299
s	0.0134003	0.0382941	0.166771	0.588473	0.0753805	0.117681
o	0.0277174	0.0473132	0.136548	0.423495	0.0934464	0.27148
p	0.0129592	0.0192301	0.0386241	0.240528	0.526336	0.162322
o	0.00146951	0.00276872	0.0114475	0.0498139	0.862719	0.0717808
è	0.00869906	0.0113523	0.0204037	0.058029	0.565422	0.336094
t	0.00343897	0.00545843	0.019176	0.0294781	0.67747	0.264978
a	0.000804799	0.00130953	0.0060368	0.022738	0.89703	0.0720809
</S>	0.00426405	0.00524022	0.00891889	0.0211624	0.58534	0.375075
