 	il	morto	si	piange	</S>
o	0.975537	0.0151659	0.00274072	0.00205271	0.00450378
a	0.84974	0.0777563	0.00916457	0.0102556	0.0530833
p	0.447662	0.49449	0.0084902	0.0078464	0.0415112
e	0.115618	0.688948	0.0289182	0.0261068	0.140409
t	0.355106	0.4621	0.024604	0.012826	0.145365
a	0.118359	0.674264	0.0236186	0.0157825	0.167976
m	0.148731	0.633273	0.0188731	0.00899031	0.190133
m	0.0706604	0.577131	0.179648	0.0572412	0.115319
è	0.081869	0.791144	0.0724019	0.0141056	0.0404791
n	0.100298	0.825901	0.0487459	0.0114227	0.013632
o	0.132745	0.358883	0.14757	0.0856235	0.275179
i	0.125274	0.154333	0.258505	0.183773	0.278115
k	0.0864941	0.093243	0.196333	0.249803	0.374126
l	0.00713181	0.050547	0.386585	0.359137	0.1966
è	0.0328548	0.0350342	0.147862	0.140479	0.64377
e	0.0231996	0.0293123	0.223754	0.364699	0.359036
t	0.0407404	0.0341197	0.106381	0.335357	0.483402
e	0.00778688	0.00833075	0.20724	0.473571	0.303071
</S>	0.050782	0.0483977	0.0903929	0.217149	0.593278
