 	ora	ho	finito	di	scrivere	</S>
à	0.951095	0.0305587	0.00968321	0.00211586	0.00222938	0.00431825
r	0.580514	0.127347	0.0349471	0.0934207	0.0895789	0.0741929
t	0.287788	0.46354	0.173693	0.0182029	0.0337098	0.023066
e	0.135872	0.376364	0.33784	0.0317632	0.0636362	0.0545239
s	0.134489	0.560072	0.12679	0.0309652	0.0648249	0.0828585
p	0.0662006	0.241383	0.313772	0.0490919	0.0881169	0.241436
ì	0.0353238	0.153603	0.371753	0.156446	0.0746307	0.208244
c	0.0773162	0.279478	0.562909	0.0407474	0.0120851	0.0274642
c	0.0746498	0.13319	0.346684	0.166965	0.0793716	0.19914
e	0.0932843	0.231365	0.265714	0.143687	0.11685	0.1491
t	0.0426599	0.19632	0.378413	0.288753	0.0404323	0.0534218
s	0.0656343	0.193205	0.225716	0.131412	0.115703	0.26833
a	0.0289603	0.0632474	0.128838	0.514505	0.084153	0.180296
t	0.0223922	0.0340941	0.0572966	0.730168	0.0618429	0.0942064
s	0.0146561	0.025327	0.0427606	0.410973	0.110514	0.39577
e	0.01411	0.032236	0.0480236	0.362334	0.0765808	0.466715
g	0.0163362	0.0280153	0.0434203	0.314226	0.216135	0.381868
r	0.00463924	0.0255369	0.0240328	0.32177	0.448187	0.175835
à	0.0102809	0.0137511	0.0205763	0.140182	0.402089	0.413121
t	0.00235811	0.00503023	0.00914362	0.0353933	0.77642	0.171655
s	0.00192221	0.00512517	0.00937523	0.0902943	0.73693	0.156353
i	0.00790012	0.0158856	0.023373	0.11242	0.436283	0.404138
</S>	0.00208858	0.00245011	0.00349205	0.0148177	0.647897	0.329254
