 	mio	padre	ha	lavorato	sempre	</S>
o	0.963947	0.0208167	0.00475994	0.00300806	0.00283713	0.0046312
c	0.698574	0.193384	0.0137409	0.0146426	0.0566296	0.0230291
i	0.148024	0.494785	0.074596	0.0302213	0.132972	0.119402
ù	0.415361	0.400783	0.0323647	0.0178698	0.076967	0.0566544
r	0.205635	0.703195	0.0335354	0.00960133	0.0299021	0.0181304
i	0.0985426	0.310385	0.364058	0.0314072	0.058492	0.137114
m	0.0730746	0.521863	0.290315	0.0168858	0.0447076	0.053153
m	0.014356	0.0580037	0.184215	0.255649	0.102655	0.385121
u	0.0134995	0.0563539	0.212466	0.346117	0.162987	0.208576
è	0.0499071	0.136695	0.253579	0.199661	0.141296	0.218862
p	0.0181139	0.0852905	0.310762	0.417777	0.0402968	0.127759
o	0.00687326	0.0286512	0.10692	0.431524	0.178502	0.24753
l	0.0137779	0.0206072	0.0842227	0.561352	0.14372	0.176321
e	0.00592596	0.0190466	0.053764	0.470245	0.222078	0.22894
m	0.00888627	0.0106363	0.0353396	0.282049	0.384294	0.278795
i	0.00362076	0.00996382	0.0177019	0.314143	0.407174	0.247396
m	0.00511094	0.00550025	0.0165942	0.0892906	0.488292	0.395212
m	0.00214619	0.00577254	0.0101703	0.230705	0.537431	0.213775
è	0.00246623	0.00761627	0.0146619	0.353546	0.442503	0.179206
n	0.010052	0.0265844	0.0302161	0.0826425	0.507861	0.342644
a	0.017458	0.042047	0.0623558	0.101701	0.261705	0.514733
p	0.0205226	0.030054	0.0793421	0.100273	0.331699	0.438109
à	0.00190204	0.00186787	0.00847695	0.0965757	0.641801	0.249376
n	0.0035176	0.0038039	0.0139227	0.067676	0.743136	0.167943
t	0.00242237	0.00350314	0.0105952	0.0547867	0.588367	0.340326
a	0.0160178	0.0152889	0.0337413	0.0829805	0.413171	0.4388
</S>	0.0129574	0.013076	0.0193931	0.0381189	0.476192	0.440262
