 	si	è	rotta	la	coppa	</S>
e	0.958243	0.0211199	0.0076104	0.00258206	0.00487547	0.00556871
g	0.620017	0.194434	0.0185189	0.00515964	0.119592	0.0422788
l	0.111238	0.180182	0.131241	0.0249375	0.367624	0.184778
à	0.110326	0.348105	0.1512	0.0222597	0.251667	0.116442
s	0.132572	0.316097	0.43716	0.0517651	0.0434297	0.0189766
t	0.0289474	0.126857	0.614632	0.13187	0.053345	0.0443487
i	0.0255103	0.115251	0.480207	0.237976	0.0695651	0.0714907
e	0.0236245	0.0521567	0.311413	0.502741	0.0267675	0.0832979
c	0.0258788	0.0334174	0.139421	0.42299	0.205486	0.172806
ò	0.00226615	0.00353622	0.0292308	0.0868499	0.781473	0.0966442
p	0.00419415	0.00809679	0.0215815	0.0535016	0.818655	0.0939712
p	0.000613887	0.000835384	0.00259593	0.00631153	0.935144	0.054499
a	0.00315953	0.00336403	0.00707829	0.0129201	0.832232	0.141246
</S>	0.00285306	0.00222092	0.00487603	0.0117702	0.853545	0.124735
