 	vuole	andare	a	Lecce	</S>
i	0.978223	0.0111026	0.00346726	0.00275874	0.00444815
t	0.821014	0.0842998	0.0198685	0.015112	0.059706
è	0.183537	0.520855	0.0285718	0.0571004	0.209936
l	0.336949	0.607594	0.0159932	0.00977185	0.029692
i	0.0780639	0.4198	0.154574	0.124015	0.223547
n	0.0722148	0.548123	0.100215	0.0419385	0.237509
a	0.0207893	0.293928	0.464029	0.106143	0.11511
p	0.0308116	0.0832452	0.560649	0.0941914	0.231103
à	0.00116357	0.01564	0.198441	0.762578	0.0221776
i	0.0123176	0.0478783	0.467519	0.340274	0.132011
L	0.00786536	0.0134576	0.215073	0.674724	0.0888806
u	0.00128525	0.0108172	0.130383	0.822132	0.0353823
p	0.00903279	0.0124748	0.0624854	0.429212	0.486795
p	0.000569934	0.00493972	0.109446	0.823365	0.0616788
ì	0.00223245	0.00744635	0.0651201	0.642331	0.28287
u	0.00258693	0.00885818	0.0384181	0.355952	0.594185
n	0.00888679	0.00863757	0.0485653	0.254533	0.679377
a	0.00163076	0.00991873	0.119622	0.652686	0.216143
</S>	0.0132292	0.0117609	0.0374686	0.293492	0.644049
