 	non	ho	finito	lo	posso	finire	di	scrivere	</S>
e	0.920091	0.0215426	0.0394458	0.00432828	0.00230934	0.00221401	0.00220718	0.0028318	0.00502988
n	0.599088	0.122535	0.106477	0.0133439	0.00369259	0.018004	0.0291827	0.0751266	0.0325508
e	0.0957143	0.117973	0.537629	0.0242792	0.00694219	0.0175665	0.0092276	0.0791453	0.111522
s	0.316921	0.200459	0.17727	0.0411084	0.00924098	0.0193635	0.0299555	0.121374	0.0843068
p	0.0627228	0.0914457	0.423008	0.0478413	0.00971158	0.031556	0.0118313	0.104314	0.217569
ì	0.105477	0.243156	0.373018	0.0255668	0.0216575	0.0223574	0.0192732	0.0607709	0.128724
c	0.106273	0.25795	0.531801	0.0214858	0.0143104	0.0130498	0.00995151	0.0183511	0.0268283
c	0.0516539	0.216466	0.450383	0.226698	0.0110948	0.00880895	0.00247518	0.0137418	0.018678
e	0.0771262	0.159132	0.463429	0.210881	0.0450289	0.00835079	0.00719854	0.0150798	0.0137738
t	0.0350316	0.0629653	0.166327	0.596054	0.0660466	0.0176389	0.0148445	0.023848	0.0172438
s	0.0708185	0.0934722	0.109409	0.377564	0.169191	0.042928	0.0293995	0.0612954	0.0459224
a	0.0425989	0.0545977	0.120245	0.37828	0.225424	0.0507328	0.0192352	0.0484588	0.0604282
o	0.0451862	0.0567066	0.131338	0.327702	0.215723	0.0650012	0.0205982	0.0584294	0.0793153
s	0.0588396	0.0627324	0.0970742	0.159366	0.335297	0.0992112	0.0289875	0.0610139	0.0974777
ò	0.0379275	0.0395149	0.0507793	0.103851	0.335601	0.0775776	0.0428491	0.0737196	0.23818
z	0.0270803	0.0551682	0.0985787	0.14168	0.464979	0.062861	0.0347253	0.0205735	0.0943544
o	0.0110573	0.0190216	0.0219093	0.146585	0.212676	0.101308	0.0923413	0.0985475	0.296555
s	0.0383169	0.0500655	0.114676	0.12342	0.277294	0.15187	0.0693046	0.0354729	0.13958
p	0.0143785	0.0159621	0.0192909	0.0272962	0.204315	0.197827	0.0896389	0.0978959	0.333395
i	0.0139805	0.0166478	0.0335999	0.0502652	0.241148	0.134333	0.109721	0.0381933	0.362111
c	0.0161099	0.0198303	0.0445007	0.0457634	0.082269	0.353578	0.128508	0.0363819	0.273059
c	0.00771677	0.0237897	0.0262055	0.149866	0.138387	0.163233	0.155374	0.144747	0.190681
è	0.0163044	0.0212499	0.0286709	0.0459644	0.146263	0.270892	0.190218	0.150378	0.130059
t	0.00615168	0.00886253	0.0188316	0.0238038	0.101557	0.382981	0.315713	0.0193892	0.12271
s	0.0174187	0.0509403	0.0404601	0.0951351	0.245505	0.268968	0.120588	0.0593748	0.101609
i	0.0218927	0.0250967	0.0356081	0.0450648	0.0971067	0.36363	0.207054	0.111653	0.0928932
t	0.00853168	0.00918824	0.0174233	0.0176894	0.0199013	0.354785	0.38878	0.065411	0.11829
s	0.0107307	0.0207784	0.0192224	0.04971	0.172666	0.210606	0.112334	0.0643153	0.339638
e	0.0101525	0.0146765	0.0324093	0.0349401	0.0671979	0.231561	0.151521	0.0933666	0.364175
g	0.00610455	0.00831673	0.018869	0.0190566	0.0179518	0.174175	0.18148	0.168583	0.405464
r	0.00510497	0.0101607	0.00668335	0.029622	0.0881539	0.193485	0.298329	0.182659	0.185802
à	0.0072227	0.00744317	0.0101057	0.0102581	0.0126188	0.182128	0.206471	0.23091	0.332843
t	0.00227879	0.00300713	0.00666675	0.00733077	0.0125847	0.0584417	0.0638651	0.610011	0.235814
s	0.00314399	0.00442956	0.00609138	0.0115886	0.0542596	0.187968	0.1525	0.401554	0.178465
i	0.00620901	0.00818927	0.0186808	0.0189344	0.0177819	0.104143	0.115889	0.438844	0.271329
</S>	0.00131932	0.00129858	0.00280166	0.0029006	0.00203937	0.0119298	0.0215014	0.622352	0.333857
