 	forse	non	li	ha	a	casa	</S>
f	0.944219	0.0257612	0.0138737	0.00358347	0.00292325	0.00338943	0.00625041
ò	0.499243	0.239635	0.0479674	0.0255086	0.0555809	0.0471958	0.0848698
r	0.536571	0.300131	0.0707828	0.0269089	0.0190321	0.0238905	0.0226833
s	0.166585	0.326511	0.328879	0.0916481	0.0241993	0.0256657	0.0365114
i	0.082535	0.294813	0.385718	0.134508	0.0296573	0.0436481	0.0291205
e	0.0620479	0.353921	0.449636	0.0659754	0.0145569	0.0178409	0.0360217
t	0.0504727	0.169505	0.562485	0.0984919	0.0230881	0.0284122	0.0675447
u	0.0316145	0.0949443	0.268218	0.269435	0.101931	0.0446028	0.189254
s	0.0511099	0.101275	0.465206	0.188401	0.0403174	0.0362052	0.117485
è	0.0160968	0.0252353	0.0958951	0.3848	0.214177	0.130848	0.132948
c	0.0223517	0.0427608	0.185828	0.59521	0.0855341	0.0111123	0.0572023
h	0.0100986	0.0757382	0.159023	0.216302	0.212193	0.163777	0.162868
i	0.0321385	0.0740569	0.125902	0.289736	0.227207	0.0639099	0.18705
è	0.0140772	0.0165865	0.0298093	0.178976	0.484941	0.0813017	0.194309
s	0.00775239	0.0135749	0.0389966	0.137826	0.376304	0.281274	0.144271
s	0.0038708	0.0070523	0.0356816	0.126417	0.251068	0.431885	0.144025
u	0.00470918	0.00558684	0.0126788	0.0613214	0.286029	0.455716	0.173959
</S>	0.00194985	0.0021981	0.00355133	0.0146493	0.0625898	0.677619	0.237443
