 	io	non	ho	cosa	da	mangiare	</S>
e	0.813223	0.0883601	0.0388365	0.0125417	0.0110893	0.0138058	0.0221438
v	0.632101	0.165568	0.0219434	0.0111901	0.0281493	0.0649446	0.0761037
ò	0.312564	0.197326	0.0298044	0.0290984	0.0317378	0.131901	0.267568
e	0.311698	0.584529	0.0266683	0.0191311	0.00966531	0.0229516	0.0253573
n	0.19234	0.511973	0.0938123	0.0482624	0.0388936	0.0493592	0.0653594
è	0.048935	0.190741	0.398372	0.110319	0.022673	0.0477533	0.181206
c	0.078304	0.241987	0.442455	0.150037	0.0193609	0.0219401	0.0459162
h	0.0387855	0.139566	0.215794	0.295544	0.0675798	0.154745	0.0879857
o	0.0567283	0.0923426	0.169905	0.467986	0.0740829	0.0618973	0.0770577
t	0.0187777	0.0280684	0.150416	0.63257	0.0622833	0.0611238	0.0467601
i	0.0171839	0.0206919	0.0632936	0.318424	0.133139	0.0796182	0.36765
è	0.0154665	0.0171853	0.032747	0.217484	0.340475	0.202054	0.174587
n	0.00901504	0.0113451	0.0443209	0.206193	0.350728	0.279518	0.0988792
a	0.00442014	0.00943265	0.0302045	0.0702555	0.345373	0.401233	0.139081
f	0.00703652	0.0071891	0.00925317	0.0199398	0.122242	0.614085	0.220254
à	0.00147361	0.00233282	0.00630987	0.0275837	0.172609	0.697175	0.0925153
o	0.00236442	0.00261088	0.00639591	0.0168529	0.0459629	0.823368	0.102445
</S>	0.00462372	0.00401072	0.00572096	0.0123486	0.0398676	0.681916	0.251513
