 	la	donna	è	capace	pulire	deve	pulire	la	casa	ogni	giorno	</S>
e	0.916007	0.0365576	0.0171002	0.00616186	0.00301458	0.00281592	0.00257027	0.00255723	0.002566	0.00256819	0.00269585	0.00538556
j	0.506774	0.255805	0.0274399	0.0246834	0.0119697	0.0112396	0.0111408	0.0114638	0.0227968	0.0174698	0.0623681	0.0368493
i	0.148833	0.342737	0.16009	0.0210352	0.0218873	0.0258294	0.0179423	0.0117895	0.0113064	0.0100712	0.0816243	0.146855
n	0.16086	0.526047	0.0384053	0.0374763	0.0222867	0.0196005	0.00938775	0.00980088	0.0180158	0.0165076	0.0738549	0.0677575
è	0.0882153	0.493901	0.114293	0.0269051	0.0277385	0.0296002	0.017685	0.00999567	0.00754086	0.00790885	0.0598219	0.116395
k	0.138584	0.743356	0.0389439	0.0114978	0.00979514	0.0105842	0.00346608	0.00395653	0.00621764	0.00609451	0.0128508	0.0146539
a	0.06795	0.262908	0.307999	0.0980581	0.0712149	0.0475124	0.0157917	0.010093	0.00896251	0.00720702	0.0313784	0.0709248
è	0.0441567	0.369156	0.296083	0.0378395	0.0381448	0.0433669	0.0137452	0.0138485	0.015838	0.0156089	0.0385904	0.0736225
n	0.0545905	0.262985	0.441068	0.0443412	0.0409472	0.0410596	0.0228479	0.0127443	0.0091257	0.00892642	0.0180916	0.0432725
e	0.0338086	0.199904	0.343846	0.122175	0.0778111	0.0492602	0.0253019	0.0119466	0.00803087	0.00652197	0.028874	0.0925201
k	0.0505649	0.212228	0.371583	0.0504611	0.045499	0.0517696	0.023306	0.0169277	0.0197833	0.0188883	0.049051	0.0899384
a	0.0175162	0.115215	0.244465	0.279632	0.122163	0.0644915	0.0342996	0.0160795	0.00608395	0.00529099	0.0220702	0.0726932
p	0.0464512	0.17861	0.303749	0.0581336	0.0463235	0.0518522	0.0342985	0.0239904	0.0189169	0.017909	0.0518653	0.167901
à	0.00908956	0.0565526	0.152447	0.318886	0.17992	0.0905154	0.0368891	0.0277481	0.0153115	0.0149672	0.0380592	0.0596147
c	0.0330244	0.119426	0.388857	0.122439	0.0688002	0.0574411	0.0439989	0.0358605	0.0132064	0.0115863	0.0209652	0.0843944
e	0.0287123	0.239621	0.149067	0.238487	0.119536	0.0814979	0.0392867	0.0241123	0.00541716	0.00410135	0.0193774	0.0507833
n	0.0236244	0.0898365	0.194666	0.262263	0.137496	0.0867022	0.0450987	0.0300209	0.0109764	0.0101345	0.0237802	0.0854008
a	0.0127472	0.0666179	0.138859	0.331846	0.1728	0.113514	0.0614012	0.0285905	0.00445769	0.00366345	0.0111191	0.0543848
p	0.0265879	0.094591	0.101571	0.191791	0.175405	0.117393	0.0499732	0.0447137	0.0159014	0.013	0.0315563	0.137517
u	0.00445463	0.0146393	0.0591478	0.23624	0.22125	0.181072	0.11163	0.0689767	0.016621	0.019167	0.0244871	0.0423138
l	0.0365314	0.129113	0.120408	0.144042	0.132823	0.0829409	0.0384459	0.0375769	0.0224502	0.0167488	0.0380269	0.200894
i	0.00533088	0.019532	0.0611032	0.22488	0.213486	0.174087	0.120846	0.0735155	0.0203338	0.0250164	0.0228328	0.039036
z	0.0295832	0.104544	0.0959062	0.119459	0.146587	0.0995855	0.0429807	0.0439762	0.0224696	0.016562	0.0368017	0.241545
z	0.00457115	0.0303687	0.0796685	0.209742	0.202227	0.169054	0.104711	0.0681924	0.0204111	0.0307023	0.0359703	0.0443814
è	0.0159637	0.056691	0.0781212	0.125489	0.16789	0.149473	0.0865293	0.0625492	0.0367251	0.03872	0.0277519	0.154097
s	0.00714146	0.0234549	0.0704732	0.16743	0.258996	0.219577	0.111571	0.0718684	0.0110885	0.00912606	0.00480523	0.0444671
s	0.00800392	0.0290711	0.0420016	0.167886	0.212569	0.181189	0.119739	0.104277	0.0209996	0.0169068	0.0141294	0.0832277
i	0.00827548	0.0241174	0.0297637	0.115543	0.168547	0.191398	0.131443	0.146868	0.045269	0.0343921	0.0311493	0.0732349
è	0.0061481	0.020634	0.0160594	0.0536571	0.148146	0.219916	0.189666	0.201512	0.0285825	0.0238651	0.0115824	0.0802328
n	0.00494163	0.016987	0.0258212	0.0821902	0.189044	0.220837	0.188543	0.158895	0.0322054	0.0279496	0.00608147	0.0465039
a	0.00397388	0.00702784	0.028736	0.15329	0.169972	0.151263	0.176211	0.132471	0.0313987	0.0281913	0.0168646	0.100599
p	0.0112281	0.030713	0.018156	0.0482731	0.0814425	0.122218	0.128346	0.197754	0.0753627	0.0639706	0.0273552	0.19518
u	0.00262065	0.00421389	0.0121487	0.0888899	0.127853	0.119808	0.144006	0.121622	0.104533	0.127884	0.0556145	0.090806
l	0.0129064	0.0360174	0.02126	0.0528457	0.0736933	0.102293	0.107198	0.185446	0.072852	0.0650153	0.0287465	0.241727
i	0.00303001	0.00508441	0.0152578	0.0846745	0.114158	0.102907	0.137685	0.10767	0.126738	0.158002	0.04655	0.0982431
z	0.0111122	0.0248228	0.0149464	0.0459496	0.0579186	0.0783226	0.0856491	0.182923	0.0998109	0.0882213	0.038721	0.271602
z	0.00230206	0.00602391	0.0119864	0.0790582	0.120086	0.117132	0.126636	0.116374	0.104927	0.147364	0.0868021	0.0813075
è	0.00502515	0.0129753	0.00911699	0.0460277	0.0586298	0.0768082	0.0730501	0.160531	0.125087	0.147874	0.0686452	0.216229
s	0.00322514	0.0117572	0.0167974	0.0445662	0.0608107	0.0814027	0.094593	0.178887	0.157767	0.168603	0.0336992	0.147892
s	0.00451146	0.00748135	0.0120904	0.0587125	0.0691959	0.079833	0.101475	0.192932	0.182597	0.135095	0.030157	0.12592
i	0.00573711	0.00863562	0.00927968	0.0594376	0.06689	0.0718545	0.0844606	0.139381	0.208089	0.16946	0.0327042	0.144071
o	0.00428569	0.00817718	0.00531802	0.0205551	0.0245884	0.0324323	0.0356347	0.0809665	0.209027	0.202361	0.121628	0.255026
s	0.00514938	0.0064787	0.00628106	0.0352125	0.0426883	0.0497429	0.063909	0.115303	0.188501	0.158067	0.0879912	0.240675
p	0.00356023	0.00551593	0.00614196	0.0401532	0.0670916	0.0935162	0.122442	0.176689	0.128628	0.116079	0.0906549	0.149528
ì	0.00245788	0.00665898	0.00519835	0.0303656	0.0815251	0.113747	0.121358	0.143172	0.113026	0.154377	0.0960484	0.132066
t	0.00208871	0.00597286	0.0052966	0.0254997	0.0286893	0.0318223	0.0333876	0.055688	0.107325	0.120424	0.321818	0.261987
i	0.00440465	0.00580158	0.00697622	0.042254	0.0472359	0.0496084	0.0636866	0.103024	0.188874	0.148322	0.117405	0.222408
k	0.00341252	0.00492729	0.00348735	0.0114181	0.0118644	0.0126622	0.0143004	0.020829	0.1026	0.107385	0.379985	0.327129
a	0.00380776	0.00409354	0.00950656	0.0311751	0.0755197	0.0782758	0.111574	0.0906899	0.143048	0.200088	0.0875813	0.164641
m	0.00815749	0.00850108	0.00775535	0.0189498	0.0185467	0.0172715	0.0239049	0.0217771	0.0707402	0.069487	0.297916	0.436993
è	0.00292547	0.0046869	0.0102558	0.0413885	0.0998882	0.10281	0.137656	0.118319	0.131653	0.154099	0.0832668	0.113052
r	0.00144113	0.00271284	0.00182156	0.0077095	0.00910152	0.0114861	0.0121671	0.0158577	0.0364105	0.047245	0.662943	0.191104
i	0.00356306	0.00412013	0.00436336	0.0220706	0.0254554	0.0273478	0.0366484	0.041143	0.0960513	0.0885228	0.312803	0.337911
</S>	0.00337255	0.00281396	0.00221868	0.00671222	0.00667651	0.00643628	0.0078665	0.0094426	0.0396442	0.0436653	0.63595	0.235201
