 	ha	potuto	entrare	dalla	finestra	</S>
ì	0.856197	0.114964	0.0065306	0.00609322	0.00562174	0.0105932
s	0.354111	0.363369	0.0404596	0.0619719	0.139097	0.0409921
o	0.103811	0.527809	0.242564	0.029066	0.0712652	0.0254847
s	0.0680972	0.630051	0.149545	0.0256467	0.0692011	0.0574591
e	0.0326897	0.119035	0.619443	0.0732652	0.0580812	0.0974858
è	0.0411523	0.186948	0.557819	0.0526667	0.0763651	0.0850483
m	0.023404	0.0802861	0.751002	0.0990793	0.0240232	0.0222048
b	0.0207191	0.0428572	0.259461	0.269067	0.0550862	0.352809
i	0.0453756	0.0779433	0.457724	0.256752	0.0993846	0.0628197
à	0.0192661	0.0252391	0.266081	0.517796	0.10334	0.0682775
t	0.0120152	0.0215093	0.303425	0.533796	0.0496314	0.0796227
t	0.0134589	0.0174644	0.210286	0.364231	0.139283	0.255277
i	0.0129889	0.016728	0.140275	0.44292	0.155183	0.231905
f	0.00812977	0.00972728	0.0384118	0.174203	0.456401	0.313127
i	0.00470043	0.00519972	0.0634349	0.189842	0.28865	0.448173
n	0.0070524	0.00683594	0.0139873	0.0438974	0.533462	0.394765
è	0.00400819	0.00427684	0.0669366	0.192107	0.354942	0.377729
s	0.00438763	0.00478198	0.0208758	0.0485905	0.749228	0.172136
t	0.00432952	0.00411856	0.0163204	0.0347728	0.415784	0.524674
r	0.00719965	0.00702102	0.0299085	0.0493807	0.331953	0.574538
a	0.00797687	0.0058403	0.0220791	0.0383408	0.354553	0.57121
</S>	0.00932398	0.00889417	0.0117206	0.023165	0.430089	0.516807
