 	perché	aveva	lavorato	molto	</S>
j	0.773722	0.104175	0.0374072	0.0286892	0.0560072
a	0.600569	0.0892705	0.0207315	0.114722	0.174707
t	0.408711	0.127295	0.0299258	0.164937	0.269131
ì	0.067237	0.355241	0.110875	0.128783	0.337864
ì	0.1984	0.657652	0.031239	0.0245242	0.088185
c	0.135409	0.798544	0.0305162	0.00751388	0.028016
h	0.136942	0.282753	0.238344	0.0930786	0.248883
e	0.174184	0.290064	0.187589	0.189774	0.158389
p	0.0922286	0.273496	0.394047	0.0528861	0.187343
o	0.00804957	0.0268984	0.629613	0.124957	0.210483
l	0.0148489	0.0341077	0.524467	0.0655719	0.361005
e	0.0105386	0.0310725	0.629221	0.234994	0.0941741
m	0.0110023	0.0274089	0.402109	0.192872	0.366608
ì	0.00658101	0.0154836	0.448541	0.443123	0.0862714
s	0.00633761	0.0173773	0.142596	0.584176	0.249513
o	0.00653166	0.0174802	0.0660327	0.599905	0.31005
n	0.00226828	0.00335739	0.0213587	0.799489	0.173527
t	0.00439529	0.0120962	0.245291	0.62752	0.110697
a	0.0014271	0.00221176	0.0390586	0.832247	0.125056
p	0.00197808	0.0028399	0.0234353	0.845574	0.126173
o	0.00139516	0.0118911	0.36217	0.508496	0.116048
d	0.00151262	0.00271906	0.0427823	0.811201	0.141785
d	0.00188509	0.0180321	0.380927	0.447371	0.151785
h	0.00157738	0.00905394	0.083672	0.528211	0.377486
ì	0.0035343	0.0171018	0.119162	0.732653	0.127549
</S>	0.00196984	0.00958323	0.0684433	0.753124	0.166879
