 	il	lenzuolo	vuole	lavato	</S>
o	0.969634	0.0184009	0.00450704	0.00262118	0.00483714
p	0.693449	0.212335	0.0110441	0.0486612	0.0345108
l	0.0871089	0.691786	0.0470906	0.0687995	0.105215
a	0.14694	0.661379	0.0300201	0.0915098	0.0701514
ù	0.173332	0.582349	0.020181	0.11059	0.113548
n	0.0904805	0.671147	0.153429	0.0405862	0.0443569
a	0.0327752	0.225775	0.270368	0.0646642	0.406417
t	0.0670849	0.26373	0.455027	0.113994	0.100164
è	0.030597	0.0635951	0.23129	0.146596	0.527921
l	0.0371552	0.128308	0.564668	0.086744	0.183125
i	0.0164547	0.095631	0.239006	0.175018	0.47389
p	0.0235575	0.0564859	0.0752932	0.586392	0.258271
l	0.00331163	0.0176638	0.0738414	0.7389	0.166283
i	0.0256784	0.0391514	0.0618678	0.431546	0.441756
m	0.0129351	0.0129645	0.0178564	0.512577	0.443667
è	0.00213111	0.00838016	0.0367592	0.774129	0.1786
n	0.00443309	0.0103069	0.013676	0.808337	0.163247
o	0.00207365	0.00233862	0.00979476	0.674664	0.311129
</S>	0.0142725	0.0140618	0.0155212	0.577353	0.378791
