 	è	facile	che	stanno	ancora	svegli	</S>
è	0.925288	0.0425944	0.00615439	0.00690116	0.00475884	0.00624105	0.0080618
f	0.534298	0.115897	0.0668002	0.0644952	0.114434	0.0481112	0.0559647
à	0.241685	0.558121	0.0541483	0.0226649	0.0178946	0.0287415	0.0767446
c	0.332857	0.593845	0.0279023	0.014835	0.00789726	0.0131934	0.00946962
i	0.117138	0.645067	0.12205	0.0451087	0.00855713	0.0211137	0.0409654
l	0.0506077	0.823599	0.0641248	0.0147672	0.00857911	0.0239778	0.0143443
e	0.0573393	0.267274	0.278471	0.0539014	0.0207756	0.0434804	0.278758
k	0.0310399	0.273228	0.441837	0.117497	0.0155671	0.0810902	0.0397397
a	0.0242763	0.139036	0.32572	0.15562	0.0206509	0.0464496	0.288247
s	0.0218375	0.0777479	0.406991	0.301212	0.0332178	0.0729443	0.0860497
t	0.0124521	0.0289263	0.374273	0.310201	0.0900585	0.0439776	0.140112
è	0.0163763	0.0385849	0.260362	0.298827	0.122016	0.0311122	0.232721
o	0.0105022	0.039491	0.228525	0.329774	0.279498	0.0605983	0.0516111
n	0.0219745	0.0318118	0.157199	0.271275	0.284439	0.12173	0.111572
e	0.0088594	0.0602248	0.203178	0.152256	0.115984	0.122353	0.337145
a	0.0503234	0.0672069	0.13461	0.17112	0.27902	0.144634	0.153086
n	0.0262301	0.0310295	0.0727472	0.10743	0.350134	0.221292	0.191138
k	0.0046823	0.0312487	0.133763	0.0939991	0.129707	0.224914	0.381687
ò	0.020469	0.0241773	0.0511509	0.0732208	0.229337	0.0569881	0.544656
r	0.0144923	0.0455149	0.0876993	0.115949	0.38974	0.178082	0.168523
a	0.0406976	0.0752044	0.146134	0.157421	0.229252	0.166019	0.185272
a	0.100338	0.116723	0.13039	0.131543	0.21787	0.0654969	0.237638
t	0.0379988	0.0555772	0.0962972	0.100278	0.269972	0.232469	0.207408
s	0.00413409	0.00815734	0.0387677	0.0663117	0.0994556	0.263622	0.519552
ù	0.0192415	0.0255826	0.0434408	0.0351583	0.073852	0.102219	0.700505
n	0.0161801	0.043282	0.0698606	0.0692014	0.162799	0.273368	0.365308
n	0.00388794	0.0104724	0.0533662	0.0634633	0.0798577	0.261359	0.527593
i	0.0240242	0.02592	0.0346684	0.036593	0.0812122	0.0837229	0.713859
t	0.052368	0.0545253	0.0573394	0.0563188	0.073429	0.154345	0.551675
i	0.012798	0.0166538	0.0176447	0.0188846	0.0464553	0.164188	0.723376
</S>	0.0468888	0.0509229	0.0517952	0.0493911	0.0614	0.275253	0.464349
