 	non	deve	parlare	davanti	a	Anna	di	questo	</S>
e	0.869658	0.0653433	0.0141868	0.0184467	0.00716243	0.00488339	0.00492838	0.00501476	0.0103759
n	0.542113	0.300395	0.0121719	0.0186806	0.0181742	0.0145682	0.0127999	0.0519207	0.0291766
è	0.200553	0.327476	0.0724695	0.0405151	0.0575718	0.0137359	0.0141574	0.102699	0.170823
n	0.256418	0.675528	0.016839	0.0146081	0.0161163	0.00286911	0.00419136	0.00675712	0.00667344
a	0.249326	0.290801	0.181925	0.0616659	0.067032	0.0157738	0.0133041	0.0568397	0.0633329
m	0.0655222	0.284843	0.301225	0.105619	0.0934587	0.0187549	0.0204184	0.0439915	0.066167
i	0.0148465	0.0174982	0.195244	0.221158	0.161402	0.103354	0.0308171	0.0383247	0.217355
l	0.0431322	0.075761	0.32296	0.30536	0.115406	0.0200412	0.0175899	0.045361	0.0543891
ì	0.0158511	0.0290361	0.185181	0.210094	0.253609	0.0808752	0.0553542	0.0519321	0.118067
s	0.012376	0.0481108	0.465607	0.330584	0.084215	0.0191153	0.00987966	0.00590818	0.0242044
i	0.0176988	0.0387977	0.222791	0.346715	0.191553	0.0733051	0.0304039	0.0200332	0.0587025
m	0.0123753	0.034003	0.172507	0.435961	0.252693	0.0310011	0.0161959	0.0101607	0.0351032
b	0.00958612	0.0123014	0.0521097	0.127543	0.157649	0.22774	0.110089	0.0689473	0.234035
r	0.00752663	0.0115562	0.0822271	0.237657	0.309002	0.111841	0.087503	0.0645471	0.0881404
ò	0.00782714	0.0101499	0.0536417	0.199196	0.365567	0.193903	0.0922318	0.0421769	0.0353063
s	0.00422203	0.00794188	0.0568985	0.21678	0.259604	0.218415	0.175647	0.0139714	0.0465212
t	0.00941784	0.012848	0.0910311	0.177656	0.329587	0.180546	0.0694122	0.0502734	0.0792284
i	0.00921587	0.00992985	0.0305976	0.137203	0.285055	0.198516	0.159916	0.0791954	0.0903714
n	0.00543789	0.00662693	0.0105765	0.102252	0.217136	0.190392	0.250454	0.138761	0.0783628
A	0.00472424	0.00614608	0.0410576	0.0668965	0.0787681	0.275511	0.236386	0.124661	0.16585
n	0.00327346	0.00854037	0.0243535	0.152078	0.171831	0.156999	0.173663	0.103285	0.205976
n	0.00444293	0.00687788	0.0455593	0.0510138	0.0861911	0.197981	0.197683	0.282906	0.127345
a	0.00976286	0.0100704	0.0265611	0.0614495	0.0948419	0.235683	0.248566	0.147393	0.165673
à	0.00478379	0.0040328	0.0107237	0.0227899	0.0495725	0.0766289	0.156305	0.359333	0.31583
t	0.00210897	0.00269812	0.00847211	0.0275347	0.0510625	0.0596472	0.0969492	0.568269	0.183258
s	0.00177388	0.00208371	0.0165449	0.0415946	0.0843032	0.110103	0.106005	0.538579	0.0990137
e	0.00336891	0.00525294	0.00646611	0.0382938	0.0628852	0.0607666	0.182731	0.397698	0.242537
t	0.0013362	0.00138559	0.00247534	0.00695081	0.0148638	0.012894	0.0402334	0.693471	0.22639
ù	0.000554321	0.000602533	0.00247222	0.00789827	0.0168219	0.0288045	0.0534089	0.80569	0.0837475
o	0.000902491	0.00109639	0.00250466	0.00835698	0.0147616	0.0156589	0.026881	0.761297	0.168541
</S>	0.00299194	0.00215141	0.00652952	0.00995625	0.0181296	0.0294886	0.042035	0.657867	0.230851
