 	il	morto	lo	piangono	lo	piangono	tutti	i	familiari	</S>
o	0.961027	0.0214543	0.00417048	0.00170518	0.00164774	0.00162205	0.00163251	0.00164093	0.0016895	0.00341069
a	0.686382	0.21659	0.0165531	0.00410545	0.00813588	0.00394652	0.0122481	0.0135293	0.00718523	0.0313244
p	0.330401	0.558549	0.0551997	0.00294676	0.00610295	0.00270396	0.00751146	0.00914365	0.00525869	0.0221824
e	0.109758	0.556715	0.150362	0.00726544	0.00854546	0.0052472	0.0070534	0.0102399	0.0276621	0.117152
s	0.25869	0.632737	0.0276689	0.00370949	0.00788162	0.00346692	0.00935926	0.0112695	0.00889564	0.0363214
a	0.153091	0.419774	0.217942	0.00659254	0.00962405	0.00426083	0.0052893	0.0080157	0.0109537	0.164457
m	0.14148	0.68432	0.0605362	0.00421414	0.00690729	0.00357674	0.00747778	0.0104879	0.0101178	0.0708815
m	0.0909157	0.48371	0.171052	0.0316106	0.0342176	0.0165237	0.0109553	0.0100021	0.037514	0.113498
è	0.073259	0.485061	0.338605	0.0155304	0.011841	0.00697961	0.00444293	0.0084063	0.0161698	0.0397049
n	0.122847	0.603008	0.212786	0.014936	0.00961903	0.00713127	0.00806671	0.00778933	0.00595138	0.00786444
o	0.138901	0.389999	0.148794	0.0671492	0.0690922	0.0602872	0.0445692	0.0232368	0.0244739	0.033497
o	0.154219	0.219841	0.284287	0.0791987	0.0397495	0.0514718	0.0432688	0.0284295	0.020412	0.0791223
k	0.14341	0.160701	0.237122	0.119758	0.0651353	0.0674227	0.0347445	0.0305982	0.0210947	0.120013
l	0.0228124	0.0720703	0.125453	0.198527	0.257941	0.119143	0.0190709	0.0098239	0.0251473	0.150011
è	0.0762671	0.0831981	0.102924	0.11874	0.114654	0.0907133	0.0661418	0.0574552	0.0670426	0.222864
o	0.0303573	0.0500333	0.0727694	0.232929	0.389168	0.112949	0.0417666	0.0249612	0.0188443	0.0262227
n	0.0507209	0.0539758	0.0721643	0.244573	0.245662	0.178621	0.0468081	0.0261067	0.0314818	0.0498866
e	0.0172365	0.0455251	0.12016	0.177696	0.234925	0.104994	0.0272824	0.0142892	0.0296375	0.228253
o	0.0530597	0.053068	0.0561239	0.172539	0.191632	0.161358	0.0616883	0.0335036	0.0398284	0.177199
k	0.0361996	0.0366827	0.0382214	0.174193	0.155659	0.23585	0.0980525	0.0348676	0.0386812	0.151593
l	0.00899305	0.0182975	0.0493527	0.151486	0.194641	0.145948	0.099579	0.0403162	0.126388	0.164999
è	0.030783	0.0312012	0.0319146	0.0802669	0.0774469	0.103715	0.0615049	0.0475978	0.0488465	0.486723
o	0.0103965	0.0115805	0.0133402	0.0993311	0.143875	0.132291	0.331349	0.132195	0.0466428	0.0789985
n	0.0239875	0.019978	0.0205373	0.091575	0.0621226	0.168263	0.227865	0.126007	0.125795	0.133869
e	0.00722071	0.012957	0.0430323	0.123933	0.167882	0.122471	0.14319	0.0620694	0.0826407	0.234604
ò	0.0351879	0.0250343	0.0254973	0.0417112	0.0384971	0.056815	0.109474	0.084901	0.0711915	0.511691
l	0.00718002	0.00800218	0.00949773	0.036979	0.0684673	0.0437012	0.240337	0.192935	0.229861	0.16304
i	0.00227114	0.00260127	0.00563965	0.0391821	0.046384	0.0438544	0.0755711	0.136096	0.551776	0.0966247
i	0.0274506	0.019655	0.0199299	0.0296399	0.0267464	0.0380635	0.0594076	0.0670139	0.0482743	0.663819
f	0.0133273	0.00839324	0.00862301	0.0248588	0.0162434	0.0389594	0.0751065	0.107289	0.174517	0.532683
a	0.00129793	0.00147413	0.00270138	0.0224859	0.03262	0.0255095	0.0566843	0.136111	0.646621	0.0744949
m	0.0132633	0.0100729	0.0105639	0.0160319	0.0221265	0.0213883	0.0462496	0.0775734	0.150913	0.631818
i	0.00141789	0.00366262	0.00862831	0.0225845	0.0460523	0.0227447	0.0645547	0.167979	0.60986	0.0525158
l	0.0108276	0.00767906	0.00786868	0.0148418	0.0137513	0.0222533	0.0369206	0.0728481	0.358576	0.454433
i	0.00147481	0.00182758	0.00326358	0.0250317	0.0334189	0.0268017	0.0633163	0.144456	0.634041	0.0663691
à	0.0119319	0.00729019	0.00743304	0.0145335	0.0095987	0.0195473	0.021453	0.0748187	0.491364	0.342029
r	0.00384291	0.0027908	0.00304198	0.00703165	0.00895245	0.0107877	0.0242179	0.062252	0.204067	0.673015
i	0.00534165	0.00534983	0.00560951	0.0147071	0.0189006	0.0192316	0.0619782	0.0547702	0.398325	0.415786
</S>	0.00781395	0.00598938	0.00648293	0.00801293	0.013116	0.00860199	0.0229014	0.0474314	0.0757173	0.803933
