 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.331849	0.103228	0.0636261	0.0875278	0.152134	0.109779	0.151857
c	0.151194	0.0706572	0.0642575	0.0875966	0.0754036	0.267412	0.283479
h	0.603066	0.21943	0.0250809	0.0217088	0.0222775	0.041893	0.0665444
a	0.695614	0.130275	0.0438633	0.0224994	0.0262201	0.0381628	0.0433657
n	0.617956	0.217858	0.0330045	0.0218858	0.0207902	0.0392186	0.0492868
a	0.556787	0.216623	0.0544632	0.0106781	0.013957	0.0374423	0.11005
v	0.388407	0.29155	0.0483468	0.0255986	0.0224461	0.0512856	0.172366
o	0.119983	0.0772456	0.276688	0.0725724	0.147999	0.0618151	0.243697
r	0.140103	0.130745	0.139787	0.054342	0.0694541	0.0701798	0.395389
à	0.0375146	0.0324353	0.188388	0.110838	0.241954	0.110105	0.278764
s	0.0401941	0.0394042	0.284795	0.14691	0.267982	0.0425272	0.178188
o	0.0489642	0.0411306	0.220053	0.317455	0.221763	0.024523	0.126111
o	0.0335626	0.0325745	0.103971	0.340363	0.326731	0.0695311	0.0932666
t	0.0272974	0.0247868	0.0733908	0.201937	0.216673	0.228584	0.227332
s	0.0289235	0.0263745	0.145304	0.141607	0.202669	0.269973	0.18515
o	0.07666	0.0732278	0.160438	0.263491	0.252329	0.0849319	0.0889229
m	0.00856599	0.00792993	0.0123315	0.0381903	0.0359138	0.650156	0.246912
ì	0.0216225	0.018629	0.09487	0.0832464	0.315629	0.311319	0.154684
k	0.0183817	0.0164764	0.0350776	0.0594162	0.0682512	0.455945	0.346452
u	0.0167017	0.007572	0.0172827	0.0581064	0.0981619	0.485781	0.316395
à	0.0135176	0.00902963	0.0141021	0.0250052	0.0209201	0.426914	0.490512
i	0.00887761	0.00659797	0.0255451	0.0398541	0.0406657	0.476249	0.402211
m	0.00781292	0.00560927	0.0135038	0.0291528	0.0285376	0.427706	0.487678
è	0.035198	0.0161698	0.0705006	0.0748371	0.161036	0.422372	0.219887
r	0.00709461	0.00564955	0.0172241	0.045052	0.0536931	0.472747	0.39854
i	0.0066519	0.00504139	0.0128829	0.024369	0.0243682	0.396275	0.530412
</S>	0.00758823	0.00610661	0.0197663	0.0260226	0.0274859	0.34891	0.56412
