 	che	vende	buon	pane	</S>
k	0.968738	0.0158336	0.00357959	0.00438814	0.00746058
a	0.616679	0.151172	0.07812	0.0447171	0.109311
i	0.610354	0.22701	0.0609642	0.0321799	0.0694919
p	0.187727	0.612846	0.0573987	0.0205274	0.121501
u	0.0199724	0.197311	0.463497	0.0953906	0.223829
l	0.110791	0.668815	0.0981979	0.0209821	0.101214
ì	0.00972447	0.200442	0.545341	0.119337	0.125155
t	0.0333282	0.442432	0.353237	0.0473437	0.123659
s	0.0186101	0.354968	0.382315	0.0458193	0.198288
o	0.0143405	0.131381	0.645423	0.0883597	0.120496
m	0.00590502	0.0290554	0.441531	0.367969	0.155539
ì	0.00280991	0.0121992	0.179942	0.602888	0.202161
k	0.00587206	0.0416539	0.163562	0.527054	0.261858
a	0.00257571	0.0116773	0.204477	0.436184	0.345087
l	0.0189938	0.0321604	0.193118	0.322786	0.432942
ò	0.00123411	0.0105287	0.137884	0.606469	0.243884
</S>	0.0122334	0.0480854	0.184168	0.416752	0.338762
