 	i	bambini	piccoli	vengono	vestiti	dal	padre	e	dalla	madre	</S>
t	0.932781	0.0486162	0.00513909	0.00152294	0.00145001	0.00145924	0.00144526	0.00144739	0.00145186	0.00156971	0.00311774
a	0.555663	0.223813	0.0447611	0.00401041	0.00993508	0.00833182	0.0100273	0.0239439	0.0279621	0.0612144	0.0303379
p	0.295151	0.435624	0.0574648	0.0114981	0.0121085	0.0117326	0.0124423	0.0166833	0.0216282	0.0896545	0.0360132
e	0.125523	0.291444	0.142482	0.0178352	0.0277475	0.0120327	0.0269453	0.016657	0.0198882	0.120661	0.198784
d	0.215927	0.450268	0.0731593	0.0156602	0.012264	0.0113675	0.0132916	0.0196955	0.0266674	0.0961143	0.0655857
ì	0.0752814	0.256812	0.228204	0.0221513	0.028898	0.016066	0.0312984	0.0167039	0.0147794	0.125401	0.184404
a	0.137199	0.690247	0.115439	0.00783613	0.00383183	0.00229086	0.00576597	0.00614714	0.00632776	0.012362	0.0125534
m	0.139273	0.256758	0.255137	0.0357566	0.0212545	0.0132429	0.0309505	0.0365709	0.0382038	0.0841333	0.0887195
i	0.0587177	0.0619553	0.150818	0.174066	0.0906604	0.117906	0.0330323	0.0137584	0.012723	0.0540462	0.232317
n	0.107212	0.145646	0.328491	0.0744712	0.0278754	0.0179413	0.0354527	0.0392893	0.040963	0.0953031	0.0873539
c	0.039129	0.0618066	0.240904	0.167498	0.0765615	0.107164	0.03111	0.0175578	0.0161137	0.0588846	0.183271
i	0.0761038	0.114535	0.229463	0.246994	0.0694274	0.0801372	0.0457287	0.0201947	0.0181448	0.0444084	0.0548623
à	0.0793448	0.0846296	0.168167	0.208048	0.0666399	0.0595356	0.0375977	0.0309851	0.0328532	0.119604	0.112595
è	0.0367488	0.0610529	0.206081	0.312258	0.0711604	0.103003	0.0634956	0.0304815	0.0172829	0.0305286	0.0679071
r	0.0312915	0.0409948	0.128552	0.374819	0.0996697	0.185715	0.0559093	0.0232257	0.0134318	0.0199034	0.0264881
k	0.0281593	0.0318439	0.12824	0.172112	0.216728	0.195641	0.077947	0.0199621	0.011493	0.0255804	0.0922929
u	0.0330119	0.0339245	0.0567528	0.0943047	0.192189	0.0944634	0.118897	0.0595822	0.0379928	0.0498835	0.228999
t	0.0228366	0.0238064	0.0318952	0.130659	0.290282	0.204062	0.179469	0.0319395	0.0155607	0.029671	0.0398191
t	0.023508	0.0237096	0.0266478	0.143834	0.228971	0.175911	0.11892	0.0347741	0.0138917	0.0329428	0.17689
e	0.016086	0.0165172	0.0195685	0.0755503	0.222261	0.1858	0.154889	0.0685986	0.029394	0.0414141	0.169922
n	0.015377	0.0160604	0.0203522	0.0631507	0.226137	0.20364	0.233236	0.0724143	0.0222395	0.0352496	0.0921433
d	0.00717373	0.00784842	0.0332654	0.12436	0.24272	0.221601	0.10945	0.0366359	0.0221605	0.0207555	0.17403
i	0.0163361	0.0165114	0.0178253	0.055444	0.171421	0.147334	0.137289	0.0842924	0.0542157	0.0566182	0.242713
m	0.0129205	0.0129187	0.014475	0.0328861	0.155159	0.143193	0.223506	0.167171	0.0488842	0.0528475	0.136039
è	0.00572802	0.00703415	0.0278653	0.103598	0.23718	0.222911	0.116215	0.0518462	0.0493201	0.0501711	0.128132
n	0.00574582	0.00783253	0.0149052	0.0873362	0.222603	0.184612	0.26978	0.109182	0.0433543	0.0110428	0.0436058
i	0.00701125	0.00910899	0.0288509	0.116465	0.196363	0.177531	0.114978	0.072408	0.0314381	0.0396122	0.206234
à	0.0101872	0.00984688	0.0112164	0.0177129	0.0805811	0.0979952	0.160684	0.280466	0.173993	0.0646943	0.0926229
t	0.00475941	0.00553456	0.0116106	0.047097	0.170167	0.227685	0.226759	0.153538	0.0906569	0.0160441	0.0461487
t	0.00431982	0.00466209	0.00947769	0.0818739	0.226563	0.205815	0.136847	0.0965687	0.0510563	0.052512	0.130305
o	0.00705236	0.00834257	0.0136992	0.0256965	0.0856098	0.103849	0.249902	0.158796	0.130037	0.0517088	0.165307
n	0.00557653	0.00683101	0.0116917	0.0156269	0.0426922	0.0603826	0.176972	0.243801	0.225264	0.0880529	0.123108
c	0.00470895	0.00481425	0.00946384	0.0662101	0.116279	0.105044	0.0867502	0.10888	0.206257	0.0990334	0.19256
i	0.00565753	0.00579679	0.00685359	0.0205623	0.0821704	0.0952166	0.146201	0.192666	0.163754	0.0925028	0.188619
ù	0.00606348	0.00465868	0.00494322	0.00682917	0.0212296	0.0176402	0.070438	0.146968	0.229964	0.142322	0.348943
r	0.00295327	0.00364061	0.00674241	0.0194582	0.04771	0.05733	0.151748	0.165842	0.162232	0.204384	0.17796
i	0.00335669	0.00351831	0.00525917	0.0276395	0.123635	0.133803	0.11739	0.167213	0.142473	0.138099	0.137614
c	0.00601538	0.00649133	0.0101511	0.0107284	0.0254975	0.035324	0.0840109	0.151442	0.221175	0.310338	0.138826
e	0.00229478	0.00386618	0.0128747	0.0430575	0.115914	0.108653	0.0726624	0.101645	0.160227	0.263207	0.115599
à	0.00531502	0.0046427	0.00511131	0.00533548	0.0143746	0.0133911	0.0267245	0.0718506	0.128975	0.380304	0.343976
t	0.0014415	0.00144078	0.00201721	0.00553873	0.0167401	0.0138625	0.0350527	0.0514422	0.0677768	0.652134	0.152553
t	0.00221512	0.00218814	0.00297667	0.0172577	0.0785145	0.0750716	0.0731014	0.111074	0.127997	0.354133	0.15547
i	0.00331923	0.00353363	0.00464531	0.00528432	0.0151378	0.0130586	0.0378453	0.0838046	0.166201	0.510671	0.156499
m	0.00186994	0.00123944	0.00135219	0.00140231	0.00399327	0.00374597	0.00728985	0.0201392	0.0486755	0.74146	0.168833
à	0.00388097	0.00496206	0.0128028	0.0574037	0.156331	0.146135	0.0919369	0.105362	0.167298	0.111181	0.142707
n	0.00106909	0.00106118	0.00142535	0.00235679	0.00758637	0.00508731	0.0132644	0.0214038	0.03158	0.816829	0.0983369
a	0.00231857	0.00162867	0.00190496	0.00625401	0.0111242	0.015758	0.0295354	0.0367345	0.0703026	0.538751	0.285688
</S>	0.0117359	0.0102685	0.00697388	0.0069584	0.0101292	0.0101974	0.0149799	0.0247934	0.0372063	0.612076	0.254681
