 	dovevo	comprare	pane	ogni	giorno	</S>
ì	0.368706	0.0956365	0.0837662	0.138358	0.131449	0.182085
c	0.138147	0.0702887	0.0729048	0.103668	0.28906	0.325932
h	0.644632	0.203573	0.0165171	0.023583	0.0392584	0.0724362
a	0.727318	0.137114	0.0283081	0.0218787	0.0392451	0.0461365
n	0.646581	0.214208	0.0224263	0.0213727	0.0396863	0.055726
a	0.60498	0.228059	0.0156586	0.0100636	0.0354788	0.10576
v	0.374789	0.334956	0.0272677	0.0223167	0.048709	0.191962
o	0.146231	0.141672	0.236641	0.108711	0.0752208	0.291524
r	0.139327	0.161322	0.113273	0.05913	0.0720901	0.454858
à	0.0428276	0.041129	0.27479	0.183547	0.150288	0.307419
s	0.0408959	0.0471735	0.384122	0.250189	0.0517371	0.225883
o	0.0623409	0.0635401	0.354622	0.299581	0.0344834	0.185432
t	0.0406752	0.0407942	0.241369	0.433032	0.104781	0.139349
s	0.0535201	0.05839	0.303529	0.276815	0.0820025	0.225743
o	0.143434	0.153412	0.281891	0.294358	0.0605689	0.0663368
m	0.0128143	0.012434	0.0438275	0.0904563	0.603494	0.236974
ì	0.0270675	0.0241207	0.178072	0.30835	0.309321	0.153069
k	0.0232177	0.0251743	0.055398	0.118182	0.443322	0.334706
u	0.0246241	0.0148458	0.0346724	0.107139	0.507968	0.310751
à	0.0225833	0.0165389	0.0231174	0.0379025	0.381931	0.517927
i	0.0125649	0.0110378	0.0525144	0.0691117	0.475837	0.378934
m	0.0110208	0.00833951	0.0314373	0.0468246	0.435504	0.466874
è	0.038017	0.02569	0.109155	0.167514	0.442002	0.217622
r	0.00823331	0.0072003	0.0375227	0.0833507	0.450674	0.413019
i	0.00909193	0.00724678	0.0271324	0.0370796	0.346562	0.572887
</S>	0.0100716	0.00850141	0.0254988	0.037824	0.298609	0.619495
