 	dopo	Giovanni	é	tornato	a	casa	</S>
d	0.585202	0.28213	0.0319541	0.0211938	0.019876	0.0202252	0.0394195
ò	0.458755	0.262058	0.0598276	0.015019	0.0425674	0.0373044	0.124468
p	0.734262	0.17559	0.0304897	0.0146626	0.0139968	0.0207203	0.0102787
u	0.12632	0.63958	0.129038	0.0197854	0.0105634	0.0139016	0.0608119
o	0.174132	0.600629	0.0551647	0.0534086	0.0242813	0.0394366	0.0529479
G	0.075124	0.427154	0.282925	0.0816197	0.0295959	0.037091	0.0664904
i	0.054412	0.213196	0.465849	0.0373818	0.0381482	0.0601648	0.130848
o	0.0886628	0.430205	0.146436	0.0777287	0.0595423	0.0598619	0.137563
v	0.0624988	0.251401	0.434933	0.0921138	0.0329898	0.035968	0.0900953
à	0.0455013	0.308607	0.441986	0.0440857	0.0493869	0.0544569	0.0559764
n	0.0634321	0.266291	0.529377	0.0683809	0.0155357	0.0136188	0.0433649
n	0.105103	0.337706	0.336707	0.047836	0.0205085	0.0124623	0.139677
i	0.0516927	0.118608	0.444446	0.124355	0.0833217	0.0319027	0.145675
j	0.0256475	0.0920395	0.488116	0.261696	0.0386131	0.0233463	0.0705419
ù	0.0117258	0.0175345	0.0952449	0.15307	0.257233	0.187051	0.27814
r	0.0228158	0.0825637	0.366994	0.374655	0.0601537	0.0151525	0.0776657
i	0.0232282	0.0678969	0.371565	0.29592	0.107264	0.034898	0.0992279
s	0.0135959	0.0431788	0.103595	0.512695	0.185389	0.0632629	0.0782831
e	0.0120894	0.0268596	0.129031	0.241721	0.241956	0.122185	0.226158
è	0.00925698	0.0264485	0.0416025	0.268334	0.312186	0.205284	0.136888
s	0.00682215	0.0214699	0.055102	0.150496	0.216272	0.402045	0.147792
s	0.00465059	0.0154514	0.0872283	0.11561	0.194393	0.461571	0.121095
u	0.00611795	0.0198346	0.0376545	0.142286	0.298119	0.326692	0.169295
</S>	0.00306635	0.00507205	0.00879135	0.0301986	0.144342	0.623155	0.185374
