 	la	macchina	vuole	riparata	dal	meccanico	</S>
e	0.962233	0.0207695	0.00462633	0.00322864	0.00277363	0.00220286	0.00416659
m	0.765609	0.105405	0.0162425	0.0206682	0.0196236	0.0322164	0.0402349
à	0.245876	0.278968	0.231203	0.0234962	0.0149942	0.0262824	0.17918
k	0.252381	0.655226	0.0349815	0.0177827	0.0165284	0.0165071	0.00659374
i	0.0771393	0.394236	0.274879	0.0280497	0.0329025	0.0522093	0.140584
n	0.0628634	0.449889	0.370349	0.0212245	0.0212209	0.0476696	0.0267833
a	0.0329606	0.274	0.450384	0.0192333	0.0198672	0.0522196	0.151335
t	0.0653789	0.218983	0.518592	0.0313916	0.0228297	0.072299	0.0705256
è	0.0457679	0.0876635	0.202444	0.148871	0.0507507	0.11525	0.349253
l	0.0484478	0.153437	0.472273	0.1791	0.0451064	0.0418628	0.0597733
i	0.0122083	0.0606262	0.187907	0.210283	0.0643039	0.0790105	0.385661
s	0.0280004	0.0736889	0.095299	0.44277	0.114531	0.147338	0.0983727
t	0.0197297	0.0298386	0.0478171	0.41878	0.11593	0.125314	0.242591
i	0.0136001	0.0301644	0.0309105	0.387243	0.179537	0.0916101	0.266935
a	0.0143731	0.0350031	0.0308889	0.334577	0.276229	0.164479	0.14445
m	0.0150494	0.0254897	0.0269691	0.396695	0.315627	0.114264	0.105906
m	0.00659623	0.0390299	0.110971	0.177995	0.329893	0.182496	0.153018
è	0.00430267	0.034789	0.0875601	0.246909	0.360293	0.125422	0.140725
n	0.0131824	0.0600754	0.0712018	0.331471	0.380987	0.0505707	0.092512
i	0.0246008	0.0652165	0.0832623	0.214728	0.194327	0.103608	0.314257
a	0.0289994	0.0260889	0.0344648	0.126943	0.224296	0.187641	0.371567
t	0.0193628	0.0223195	0.0275129	0.138883	0.275383	0.208275	0.308264
t	0.00611673	0.0104977	0.0176938	0.171315	0.211859	0.223358	0.359159
o	0.0102159	0.0215786	0.01886	0.110965	0.262859	0.221195	0.354325
m	0.0117415	0.0180559	0.0190969	0.0496545	0.115569	0.310118	0.475764
e	0.00358247	0.0191082	0.0417963	0.13456	0.260632	0.406329	0.133993
k	0.00612635	0.0104491	0.00960228	0.0408554	0.111534	0.434577	0.386857
k	0.00161553	0.00831515	0.0209003	0.0815935	0.16152	0.574908	0.151148
à	0.00714591	0.00983154	0.0114326	0.0694187	0.161556	0.319062	0.421553
n	0.00326306	0.00959175	0.00983715	0.041189	0.0502808	0.488488	0.39735
i	0.0151509	0.0165109	0.0200173	0.0697315	0.134862	0.245822	0.497905
k	0.00993027	0.00981087	0.0133779	0.0436028	0.147324	0.285272	0.490682
o	0.0474517	0.0455568	0.0480749	0.0764536	0.152578	0.0972617	0.532623
</S>	0.00889104	0.0172445	0.0183853	0.0731351	0.118768	0.332305	0.431272
