 	deve	essere	bianco	</S>
è	0.949495	0.015964	0.0143533	0.020188
n	0.74329	0.0611873	0.0922094	0.103313
a	0.556576	0.194025	0.0598488	0.18955
è	0.119627	0.671529	0.0549843	0.15386
n	0.0639046	0.766639	0.074991	0.0944653
e	0.0360263	0.272085	0.378079	0.313809
à	0.0100731	0.0316284	0.769076	0.189222
s	0.00668845	0.0269944	0.614757	0.35156
p	0.00203369	0.01377	0.851708	0.132488
r	0.00659241	0.0512883	0.487503	0.454616
o	0.0138311	0.0529495	0.463688	0.469531
</S>	0.00689007	0.0144581	0.394864	0.583788
