 	sta	e	dorme	nel	letto	</S>
s	0.951917	0.0250622	0.00479656	0.00428863	0.00488068	0.00905503
t	0.684484	0.19445	0.0222257	0.0168941	0.0465593	0.0353878
e	0.205816	0.380248	0.128277	0.0250768	0.0746227	0.185959
c	0.238658	0.457994	0.0674569	0.0276447	0.123898	0.0843484
e	0.095165	0.284955	0.426848	0.0366405	0.0824229	0.0739694
p	0.109169	0.526188	0.133574	0.023253	0.0873784	0.120437
l	0.0265965	0.125826	0.583442	0.0919088	0.0997431	0.0724829
ò	0.0521668	0.115659	0.516822	0.118049	0.0469896	0.150313
n	0.0241367	0.131489	0.684184	0.114572	0.0114031	0.034215
n	0.0330931	0.225811	0.446117	0.043969	0.0371037	0.213906
i	0.0255681	0.0734957	0.378357	0.28996	0.0684217	0.164198
s	0.0198464	0.0247658	0.157062	0.523004	0.149279	0.126043
t	0.0191369	0.0224097	0.0839439	0.354932	0.216711	0.302866
o	0.00970526	0.0106726	0.0443478	0.354316	0.247664	0.333295
g	0.0100156	0.010301	0.0307835	0.0854041	0.586968	0.276528
r	0.00108841	0.00589513	0.0533727	0.0916884	0.698955	0.149
à	0.00310501	0.00326229	0.009957	0.0338619	0.69339	0.256423
t	0.00495553	0.00673557	0.0247559	0.0653024	0.712286	0.185964
t	0.00169344	0.00297123	0.0153564	0.05536	0.633692	0.290927
i	0.00551537	0.00594142	0.023902	0.066834	0.414221	0.483586
</S>	0.0105658	0.0107524	0.0242516	0.0384877	0.389253	0.526689
