 	l	ho	sentito	che	viene	</S>
o	0.967009	0.0193649	0.00462837	0.0026778	0.00223812	0.00408213
n	0.7087	0.176486	0.0185084	0.0138954	0.0315709	0.0508388
ì	0.163545	0.2811	0.103263	0.067662	0.14786	0.23657
k	0.317826	0.565282	0.049442	0.0151997	0.0219315	0.0303196
u	0.0294824	0.217641	0.390506	0.0894006	0.0490315	0.223938
s	0.0383896	0.0747504	0.641088	0.137362	0.0358428	0.0725673
a	0.0206463	0.0318799	0.324539	0.404691	0.0548169	0.163427
n	0.0290557	0.0425492	0.177473	0.545221	0.0623138	0.143387
a	0.00496885	0.0154165	0.0825463	0.565346	0.184714	0.147008
r	0.0166703	0.020074	0.0361517	0.213419	0.357701	0.355984
t	0.00166134	0.00213662	0.00915685	0.112212	0.79012	0.084713
i	0.00418179	0.00495174	0.00958193	0.0945914	0.697536	0.189157
</S>	0.00176666	0.00183124	0.00293263	0.0181088	0.738062	0.237299
