 	non	aveva	cosa	a	fare	</S>
e	0.924753	0.045479	0.00983993	0.0041983	0.00729264	0.0084374
n	0.630227	0.246266	0.0181395	0.0145924	0.0326614	0.0581135
ì	0.142081	0.3516	0.0888667	0.066691	0.0761781	0.274583
c	0.174428	0.736178	0.0411534	0.0147304	0.0176607	0.015849
h	0.11212	0.442492	0.313094	0.0497932	0.0166773	0.0658234
e	0.0849194	0.157922	0.464139	0.156663	0.0505107	0.0858455
t	0.0192183	0.0709756	0.7975	0.0465157	0.0162631	0.0495269
i	0.0164757	0.0305395	0.344638	0.296367	0.0402092	0.27177
k	0.013875	0.0198896	0.205027	0.52275	0.0851919	0.153267
à	0.00535995	0.0144569	0.0742941	0.393201	0.311546	0.201142
m	0.00495576	0.00970301	0.0730856	0.306165	0.476345	0.129746
i	0.0111374	0.0232117	0.0715671	0.30939	0.279931	0.304763
</S>	0.00784491	0.00840256	0.00725874	0.0920034	0.697304	0.187187
