 	ho	rotto	una	bottiglia	</S>
è	0.944803	0.0122509	0.0098863	0.0135499	0.01951
g	0.510987	0.0731684	0.108986	0.211317	0.0955416
l	0.274588	0.278876	0.123419	0.0743262	0.24879
a	0.297422	0.259456	0.239299	0.124177	0.0796462
s	0.107712	0.624262	0.147152	0.0619475	0.0589264
a	0.087215	0.601916	0.163116	0.0506689	0.0970846
m	0.0666949	0.584489	0.238843	0.0375811	0.0723923
i	0.0225805	0.179046	0.471858	0.089693	0.236822
a	0.0679472	0.147812	0.253342	0.10889	0.422009
b	0.066261	0.120016	0.419809	0.119421	0.274493
u	0.0038651	0.0310825	0.1202	0.745086	0.0997666
t	0.0528646	0.104611	0.119727	0.281832	0.440966
t	0.00398744	0.00895006	0.0506278	0.776023	0.160412
ì	0.0181682	0.0267075	0.0530064	0.357146	0.544971
g	0.00742323	0.0200536	0.0424431	0.737751	0.192329
l	0.00216825	0.011589	0.0512431	0.840056	0.0949436
i	0.0441274	0.045365	0.105874	0.315075	0.489559
a	0.0274061	0.0259283	0.033847	0.338234	0.574585
</S>	0.0148058	0.0145202	0.025019	0.445094	0.500561
