 	nella	pasta	vuole	sale	</S>
s	0.917522	0.0564025	0.0107502	0.00629462	0.00903089
t	0.727887	0.158005	0.0236378	0.0356471	0.0548232
i	0.300931	0.306011	0.0621023	0.0864682	0.244487
p	0.378553	0.345596	0.0302163	0.102877	0.142757
à	0.0816599	0.244083	0.354796	0.171334	0.148127
s	0.241684	0.619888	0.105066	0.0123714	0.02099
t	0.0699025	0.360191	0.303155	0.122421	0.14433
a	0.0542548	0.186679	0.322831	0.271146	0.165089
t	0.0508717	0.121098	0.52296	0.13636	0.16871
è	0.0240085	0.0414047	0.0858979	0.223834	0.624855
l	0.0333859	0.0875141	0.323197	0.314897	0.241006
i	0.0174469	0.0551716	0.180639	0.309815	0.436927
à	0.0130744	0.0183608	0.021392	0.685188	0.261985
l	0.00355274	0.0083869	0.0132471	0.80434	0.170473
a	0.00205188	0.00767766	0.0249944	0.840568	0.124708
</S>	0.00968657	0.0109642	0.00957537	0.623193	0.346581
