 	i	genitori	non	li	dimentichiamo	mai	</S>
u	0.965306	0.0237323	0.00245472	0.0017287	0.00167126	0.00171685	0.00339045
g	0.588266	0.345003	0.0103468	0.00345952	0.00975402	0.020788	0.0223821
e	0.221385	0.349437	0.166236	0.0207016	0.0219506	0.0364313	0.183859
n	0.312991	0.571282	0.0408452	0.00702807	0.0140215	0.0272002	0.0266321
i	0.155894	0.292017	0.190289	0.0510858	0.0355418	0.0610636	0.214109
t	0.147768	0.568305	0.183934	0.0162758	0.0133501	0.0340253	0.0363416
ò	0.0979182	0.211684	0.235617	0.0806241	0.0442297	0.0693108	0.260615
r	0.141688	0.490487	0.289564	0.0362246	0.0077309	0.019731	0.0145756
u	0.0697152	0.260201	0.255022	0.242128	0.0482139	0.0231073	0.101612
e	0.0715702	0.265984	0.329134	0.284731	0.0115035	0.017836	0.0192412
n	0.0893953	0.108104	0.25933	0.391381	0.0396818	0.0293108	0.082797
è	0.0165758	0.058007	0.09813	0.229804	0.152377	0.0436902	0.401415
n	0.0422019	0.0771447	0.101469	0.364628	0.248517	0.0466667	0.119373
u	0.0137376	0.0379057	0.161554	0.240443	0.170591	0.0472489	0.328519
s	0.0228194	0.0240448	0.0279543	0.0988049	0.474329	0.149771	0.202277
s	0.0118932	0.0123563	0.0195804	0.128116	0.48108	0.134274	0.2127
c	0.00660653	0.00708156	0.00750222	0.0294965	0.443559	0.155887	0.349868
e	0.00192076	0.00230383	0.0107677	0.0349904	0.234997	0.418774	0.296246
r	0.0076238	0.00563426	0.00853986	0.0142374	0.202885	0.338129	0.422951
r	0.00204588	0.00184526	0.00250897	0.0082029	0.138219	0.480321	0.366857
è	0.00184798	0.00168755	0.00206511	0.00481047	0.139338	0.486313	0.363938
t	0.00346198	0.00385164	0.0040009	0.0095806	0.205391	0.545389	0.228324
s	0.00206235	0.00199478	0.00393706	0.0211351	0.142016	0.490557	0.338298
u	0.00637694	0.00634615	0.00664121	0.00914437	0.126179	0.30398	0.541332
m	0.010346	0.00601286	0.0105186	0.0123989	0.0564393	0.483024	0.42126
e	0.00243327	0.0025153	0.00885415	0.0262751	0.257161	0.326342	0.37642
m	0.0115797	0.00645316	0.0117664	0.0127955	0.0407453	0.478161	0.438499
à	0.00121805	0.00128537	0.00406916	0.0119779	0.15076	0.494486	0.336204
i	0.00576085	0.00419112	0.00673395	0.0146248	0.104688	0.44681	0.417191
</S>	0.00986753	0.00635119	0.0100954	0.0155542	0.0616116	0.378865	0.517655
