 	io	nella	mia	vita	ho	sempre	lavorato	</S>
e	0.850607	0.098493	0.0119008	0.00726494	0.00603576	0.00671332	0.00634583	0.0126393
v	0.688349	0.160998	0.0117995	0.0109064	0.017758	0.0282611	0.0415272	0.0404004
ò	0.246397	0.27701	0.120191	0.0302271	0.0296982	0.0213768	0.0708532	0.204247
s	0.304503	0.616472	0.0328753	0.0116375	0.00743615	0.00937717	0.00852743	0.00917142
t	0.188204	0.516862	0.100096	0.0636174	0.0256904	0.0231236	0.0331074	0.0493001
i	0.116282	0.355138	0.195649	0.11453	0.0438778	0.0494992	0.0775615	0.0474631
z	0.0798223	0.38324	0.280219	0.0771844	0.0416567	0.0235368	0.0481294	0.0662117
o	0.0168393	0.0316487	0.159743	0.537622	0.0400345	0.0310126	0.0700022	0.113098
ì	0.0501864	0.163975	0.417971	0.146095	0.0611893	0.021235	0.0384373	0.100911
m	0.0342413	0.130172	0.41295	0.295607	0.0455907	0.0107477	0.01736	0.0533315
m	0.0178097	0.0432861	0.180151	0.311134	0.0886578	0.0511513	0.0845261	0.223284
u	0.0119512	0.0247923	0.134052	0.426618	0.104883	0.056579	0.0928721	0.148253
ì	0.0496825	0.0754591	0.185749	0.46077	0.0859321	0.0481347	0.0276999	0.0665729
m	0.0169392	0.0435741	0.246538	0.527697	0.0978786	0.0144671	0.013572	0.0393343
e	0.0124547	0.0175195	0.0447997	0.123864	0.163732	0.193278	0.153909	0.290442
p	0.0173526	0.0200494	0.037691	0.224604	0.382369	0.0743633	0.0757169	0.167854
à	0.00435877	0.00578248	0.0169617	0.0713482	0.115818	0.420398	0.212315	0.153018
n	0.00827919	0.0173137	0.0529127	0.181053	0.348309	0.202784	0.0610989	0.128249
t	0.0111951	0.019538	0.0554852	0.117196	0.159061	0.215367	0.123862	0.298296
a	0.0117396	0.0129331	0.0206089	0.0606539	0.101295	0.321738	0.168701	0.30233
p	0.00637244	0.00750279	0.00812128	0.0346288	0.0646618	0.220833	0.312358	0.345523
o	0.00184212	0.00278456	0.00741905	0.0360585	0.0618382	0.315623	0.458376	0.116058
l	0.00642896	0.00743617	0.008927	0.0230833	0.0567121	0.125151	0.451146	0.321115
e	0.0017076	0.00318947	0.0102877	0.0444437	0.0676039	0.262966	0.505024	0.104778
m	0.00489818	0.00551789	0.00622697	0.0171078	0.0374133	0.0987552	0.500436	0.329644
i	0.00211962	0.00363831	0.0075125	0.0319736	0.0587039	0.282357	0.523176	0.0905193
m	0.00297262	0.00334182	0.00358535	0.0121404	0.0207255	0.0773567	0.626907	0.252971
m	0.00164932	0.00292335	0.00466549	0.0163878	0.0390793	0.245455	0.582224	0.107615
è	0.001414	0.00286261	0.00572993	0.0224625	0.0542636	0.392134	0.434787	0.0863462
n	0.00387889	0.00661785	0.0125779	0.0230228	0.0250908	0.0595072	0.654652	0.214653
a	0.00744796	0.0127246	0.0203949	0.0416751	0.0252223	0.0807759	0.444075	0.367685
</S>	0.0121821	0.0131049	0.0181956	0.0428894	0.0464384	0.093785	0.468378	0.305027
