 	ieri	abbiamo	deciso	di	andare	al	mare	tutti	ma	mio	fratello	non	voleva	venire	</S>
e	0.947422	0.0178599	0.0096108	0.0050429	0.00260144	0.00165915	0.00156439	0.00156467	0.00154631	0.00154439	0.00153901	0.00154009	0.00153964	0.00161994	0.0033456
t	0.608543	0.156895	0.0441444	0.0294654	0.0141419	0.00878896	0.00697522	0.00784838	0.0104074	0.00874877	0.0134948	0.0118166	0.0083798	0.0455224	0.0248279
t	0.232654	0.348952	0.0393086	0.0236757	0.0183677	0.0180477	0.0106149	0.0109304	0.0189382	0.0169332	0.0105589	0.00960011	0.00711923	0.0674749	0.166825
è	0.429704	0.223885	0.0602225	0.037599	0.0317722	0.0155982	0.00832289	0.00833583	0.0109044	0.0109181	0.0125534	0.0130371	0.0106857	0.0680312	0.0584309
d	0.21863	0.570182	0.069451	0.0349605	0.0189579	0.00869898	0.00420372	0.00371562	0.00637996	0.00666495	0.00740881	0.00774775	0.00624463	0.0193192	0.0174343
e	0.241094	0.181083	0.0908274	0.0546601	0.0379125	0.0387157	0.0267771	0.0253026	0.0334067	0.0288425	0.0131288	0.0111552	0.0107142	0.0448241	0.161557
c	0.12764	0.413316	0.0459109	0.0400615	0.0421243	0.0363768	0.0179181	0.0131656	0.0304352	0.0288574	0.0250858	0.0249403	0.023178	0.0571799	0.0738096
i	0.0469827	0.172513	0.365474	0.190154	0.048804	0.0188397	0.0147164	0.0212266	0.0132419	0.012509	0.00765111	0.00439638	0.00497422	0.0291482	0.0493684
d	0.0640508	0.228697	0.0631964	0.0559371	0.0507426	0.0588463	0.0386211	0.0292825	0.0576828	0.0507315	0.0254857	0.0232402	0.0221853	0.0613235	0.169977
è	0.0141428	0.0521188	0.268892	0.257275	0.113314	0.0374035	0.0262024	0.0469147	0.0169663	0.0170304	0.0145345	0.0104802	0.0132635	0.0469493	0.0645118
