 	avete	cucinato	le	verdure	</S>
m	0.864451	0.0312205	0.0412184	0.0371573	0.0259529
a	0.219419	0.209649	0.260384	0.0736376	0.236911
r	0.314891	0.212401	0.078452	0.0281306	0.366125
è	0.0782154	0.338974	0.341474	0.0549982	0.186339
t	0.045373	0.39037	0.482196	0.0300554	0.0520056
s	0.0473016	0.370829	0.307193	0.0666323	0.208044
a	0.0510907	0.216884	0.456923	0.0668959	0.208206
t	0.0449707	0.125921	0.390347	0.17983	0.258932
o	0.018033	0.0430588	0.184018	0.23553	0.51936
t	0.039001	0.0530132	0.103709	0.274016	0.530261
a	0.004437	0.00974112	0.0949499	0.719441	0.171431
l	0.0226236	0.0263479	0.044814	0.302717	0.603498
à	0.00253375	0.0414019	0.14592	0.724557	0.0855873
c	0.0140482	0.0212308	0.0442353	0.56619	0.354296
h	0.00928067	0.0327263	0.071023	0.712202	0.174768
a	0.0402207	0.077306	0.123191	0.491548	0.267734
n	0.019788	0.0228308	0.0578	0.323044	0.576537
a	0.0121489	0.026479	0.125702	0.603342	0.232328
</S>	0.0132655	0.0262449	0.0428259	0.227955	0.689709
