 	che	consuma	poco	benzina	</S>
n	0.975388	0.00910899	0.00475946	0.00364052	0.00710274
a	0.685751	0.114173	0.0335261	0.0391324	0.127417
k	0.549175	0.269205	0.0266936	0.0348377	0.120088
o	0.0541503	0.596178	0.146878	0.0194606	0.183333
n	0.124201	0.742011	0.0191728	0.0165469	0.098069
s	0.0248678	0.312032	0.531293	0.0234058	0.108402
u	0.0699713	0.496065	0.255362	0.0181276	0.160474
m	0.0786208	0.286314	0.435168	0.0223954	0.177502
è	0.00987492	0.12615	0.527441	0.219617	0.116916
t	0.0365357	0.135534	0.623466	0.0546651	0.149799
s	0.0262504	0.0820622	0.412342	0.08571	0.393635
i	0.0337119	0.0845236	0.296423	0.303747	0.281595
a	0.0146044	0.0360634	0.0938507	0.354816	0.500666
l	0.0126777	0.0188502	0.0929111	0.384793	0.490768
ì	0.00113193	0.0110444	0.167843	0.562156	0.257824
o	0.00965497	0.0281444	0.0780495	0.271689	0.612462
b	0.0106587	0.0153861	0.0567505	0.187815	0.729389
e	0.000732428	0.0106483	0.185356	0.395631	0.407632
n	0.00774819	0.0173311	0.0442537	0.124806	0.805862
z	0.000799856	0.00613739	0.140343	0.433888	0.418832
ì	0.00344601	0.00620482	0.0437126	0.312656	0.633981
n	0.00799936	0.0163312	0.120024	0.195374	0.660271
a	0.00149817	0.00329975	0.0320283	0.370879	0.592295
</S>	0.0134035	0.013558	0.0250327	0.171821	0.776185
