 	è	che	sono	usciti	</S>
è	0.93161	0.0294298	0.009676	0.0128387	0.016445
n	0.578196	0.159501	0.0365052	0.0916497	0.134148
a	0.225939	0.296042	0.0629318	0.085632	0.329455
g	0.0665399	0.52136	0.193735	0.138373	0.0799915
u	0.0215479	0.130817	0.457215	0.0950947	0.295325
ì	0.022514	0.0744582	0.292214	0.300729	0.310085
k	0.00907648	0.0284988	0.123332	0.657845	0.181248
a	0.00780305	0.0213977	0.120447	0.478274	0.372078
n	0.0104396	0.0188577	0.0332202	0.539684	0.397799
e	0.00239188	0.0055077	0.0620832	0.511514	0.418504
</S>	0.0102966	0.01201	0.0260391	0.384087	0.567567
