 	puoi	non	parlare	di	questo	con	Anna	</S>
i	0.853203	0.0971534	0.0136901	0.00885306	0.00562278	0.00536979	0.00540106	0.0107065
s	0.370883	0.544631	0.0124682	0.00713901	0.00662682	0.00797994	0.0408234	0.00944906
ò	0.195134	0.417164	0.0576567	0.0260177	0.0210823	0.0159251	0.0855757	0.181444
z	0.295526	0.59991	0.037889	0.0289613	0.00735254	0.00828724	0.0151305	0.00694317
i	0.0707406	0.159123	0.271194	0.209402	0.0679449	0.0158123	0.0552613	0.150521
m	0.0740275	0.329618	0.309012	0.0964455	0.0385033	0.0264435	0.0724142	0.0535365
i	0.0188124	0.0195638	0.140985	0.19903	0.156501	0.0399432	0.0379681	0.387197
m	0.0272648	0.0654085	0.332557	0.426733	0.053277	0.0136349	0.0485251	0.0326
i	0.0162827	0.0183552	0.0899608	0.141692	0.204837	0.0854477	0.0567214	0.386703
l	0.0199381	0.0251669	0.201593	0.356798	0.26475	0.0214732	0.0451002	0.06518
ì	0.00838694	0.017891	0.123109	0.139191	0.273496	0.148789	0.0573426	0.231794
s	0.00733358	0.0158014	0.210625	0.396852	0.280551	0.0340992	0.00870426	0.0460342
i	0.0117009	0.0173917	0.147346	0.249703	0.371233	0.0793324	0.0609855	0.0623079
a	0.0103782	0.0114599	0.0699725	0.200876	0.412645	0.171858	0.0528836	0.0699268
t	0.0112052	0.011108	0.0531697	0.105582	0.391094	0.222371	0.091857	0.113613
s	0.00623562	0.00747839	0.0770087	0.105746	0.268323	0.184603	0.101028	0.249578
è	0.00651819	0.0065961	0.0161868	0.0426753	0.194117	0.339496	0.122777	0.271633
t	0.00458564	0.0050178	0.0262278	0.0919909	0.216071	0.268609	0.177822	0.209675
ù	0.00603797	0.00688752	0.0559358	0.0908526	0.255272	0.195948	0.170928	0.21814
o	0.00469965	0.00512893	0.0224712	0.0755462	0.194088	0.2985	0.217786	0.18178
m	0.00804425	0.00591247	0.0228488	0.0252453	0.121389	0.259006	0.44191	0.115645
e	0.0086687	0.00839155	0.0496961	0.050477	0.119435	0.304155	0.109149	0.350027
t	0.00921219	0.00532542	0.00996613	0.00814831	0.0261033	0.10291	0.594651	0.243684
i	0.00272339	0.0018019	0.0104605	0.00951876	0.0338938	0.0818506	0.495146	0.364605
n	0.00450671	0.00256682	0.00497527	0.00410781	0.0129989	0.0516562	0.724337	0.194851
A	0.00137944	0.00165281	0.0188942	0.0142223	0.0447163	0.11095	0.605245	0.20294
n	0.00102221	0.000862654	0.0025233	0.00450335	0.010604	0.0321753	0.77072	0.177589
n	0.00241237	0.00275118	0.0237979	0.021451	0.042493	0.0760305	0.498433	0.332631
a	0.0163236	0.0113201	0.0391369	0.0275135	0.0452845	0.118115	0.243541	0.498765
</S>	0.0160852	0.0155853	0.0306827	0.0324491	0.0519554	0.0806962	0.311974	0.460572
