 	che	non	li	aspetiamo	</S>
n	0.977226	0.00952644	0.00417885	0.00352109	0.00554734
a	0.676475	0.145034	0.0220093	0.0626634	0.0938192
m	0.52482	0.293478	0.0258435	0.102677	0.0531813
i	0.030714	0.0823919	0.496239	0.0432348	0.34742
t	0.137988	0.394462	0.319798	0.0601293	0.0876232
u	0.0332308	0.0847599	0.331897	0.110223	0.439889
s	0.0955828	0.159485	0.526999	0.116291	0.101642
m	0.0148253	0.0348592	0.129028	0.365157	0.45613
ì	0.0155841	0.0959742	0.404128	0.104402	0.379911
n	0.0349167	0.0682105	0.515613	0.108024	0.273236
o	0.0229655	0.0809634	0.275821	0.139883	0.480367
m	0.0161033	0.0232129	0.0532505	0.688015	0.219418
e	0.00545222	0.0161134	0.0719805	0.3715	0.534954
</S>	0.0135241	0.0153182	0.0179283	0.651983	0.301246
