 	dovevo	comprare	il	pane	</S>
ì	0.419533	0.0992026	0.0842873	0.12899	0.267988
c	0.205828	0.101009	0.140015	0.267368	0.28578
h	0.646168	0.167669	0.0121577	0.0626121	0.111393
a	0.733432	0.121928	0.03749	0.0289345	0.0782152
n	0.705621	0.180888	0.0217028	0.0385551	0.0532329
a	0.644464	0.130053	0.0264914	0.0156391	0.183352
a	0.421799	0.361766	0.0210488	0.0323322	0.163054
f	0.222597	0.374841	0.0367387	0.033139	0.332684
o	0.0810627	0.154203	0.446037	0.124233	0.194465
r	0.0855516	0.101564	0.172741	0.0556744	0.584469
à	0.0148656	0.0209843	0.549838	0.267655	0.146658
s	0.0234374	0.0354468	0.281792	0.476403	0.182921
o	0.024023	0.0331239	0.232031	0.547018	0.163804
t	0.0213283	0.0211636	0.157562	0.617657	0.182289
o	0.0177326	0.0289861	0.369894	0.425898	0.157489
t	0.0139678	0.0123539	0.0725288	0.654391	0.246759
s	0.00998295	0.0128587	0.37786	0.381925	0.217373
o	0.0172593	0.0247999	0.226809	0.351148	0.379984
m	0.00858314	0.00678442	0.0699198	0.533101	0.381612
ì	0.017287	0.0272173	0.400938	0.331444	0.223113
</S>	0.0106265	0.0139769	0.204323	0.373217	0.397856
