 	li	vestono	i	genitori	</S>
t	0.980776	0.00659659	0.00537074	0.00334272	0.00391397
u	0.759424	0.100572	0.020693	0.0350305	0.08428
s	0.334383	0.560876	0.0285349	0.0251429	0.0510629
i	0.0761025	0.397419	0.0811114	0.207026	0.238341
n	0.124303	0.780746	0.0335025	0.0289635	0.032485
d	0.0287566	0.142035	0.312213	0.31256	0.204435
ì	0.0998612	0.324657	0.111944	0.0779392	0.385598
n	0.0752054	0.422417	0.358508	0.0276118	0.116258
n	0.0266325	0.192824	0.211579	0.100114	0.468851
o	0.0580024	0.0965261	0.290511	0.226469	0.328491
n	0.0433887	0.0652496	0.13428	0.377091	0.379991
e	0.010277	0.0302509	0.299876	0.332534	0.327063
i	0.0475749	0.0505268	0.0795133	0.162235	0.66015
g	0.0281683	0.0294654	0.0519866	0.28611	0.604269
e	0.0020125	0.00705474	0.148627	0.536879	0.305426
n	0.0621881	0.0581801	0.0886765	0.20209	0.588865
i	0.00143693	0.00400605	0.0972724	0.581647	0.315638
t	0.0471631	0.0473547	0.0981754	0.304865	0.502442
ò	0.00697121	0.00894646	0.0419089	0.303184	0.638989
r	0.00977501	0.0150359	0.0223515	0.263401	0.689437
i	0.00766853	0.00827074	0.0156167	0.256338	0.712106
</S>	0.0342232	0.0395708	0.0574956	0.305391	0.56332
