 	il	muro	vuole	uno	specchio	</S>
o	0.937883	0.049418	0.00510635	0.00179616	0.00209182	0.00370454
t	0.522303	0.41305	0.0146927	0.0133445	0.0152494	0.0213605
ì	0.140882	0.597866	0.0613656	0.0195799	0.081947	0.0983602
c	0.229292	0.662087	0.0665504	0.0103291	0.0151145	0.0166264
h	0.0749797	0.327189	0.518806	0.007206	0.0261391	0.0456799
o	0.0732612	0.635732	0.147027	0.0600287	0.0276849	0.0562668
t	0.0545294	0.194402	0.593714	0.0324625	0.0313956	0.0934962
è	0.0322876	0.0418043	0.28679	0.142376	0.0600866	0.436656
l	0.0273168	0.110063	0.715743	0.0189233	0.0232111	0.104743
i	0.0134848	0.0827682	0.221256	0.209448	0.0956587	0.377384
n	0.0257052	0.0332127	0.252064	0.132882	0.149963	0.406173
a	0.00849368	0.0273199	0.124377	0.381205	0.17255	0.286054
n	0.00814956	0.00882049	0.0206057	0.353223	0.335657	0.273544
g	0.00275865	0.00910533	0.0395326	0.457206	0.348457	0.14294
h	0.0102177	0.0111526	0.0191557	0.375486	0.299565	0.284423
i	0.0064524	0.00971895	0.0183384	0.317434	0.356263	0.291793
a	0.00567466	0.00611885	0.00543293	0.258326	0.479126	0.245321
l	0.00404803	0.00458407	0.00363862	0.153937	0.617603	0.21619
ì	0.00115298	0.00370811	0.0153864	0.362729	0.477097	0.139927
</S>	0.0022355	0.00292987	0.00818394	0.0550831	0.747665	0.183903
