 	è	che	stanno	ancora	svegli	</S>
è	0.891161	0.0540651	0.0215432	0.00846214	0.0129937	0.0117748
n	0.624383	0.121507	0.0392893	0.0970432	0.0473457	0.0704317
a	0.361079	0.43574	0.0771571	0.0223273	0.0547124	0.0489846
s	0.116089	0.755418	0.037941	0.0244514	0.0306646	0.0354362
t	0.0709671	0.444801	0.268756	0.0481309	0.0697743	0.0975714
a	0.0723419	0.284965	0.298798	0.0649868	0.0751506	0.203758
t	0.0694075	0.23721	0.511494	0.0330205	0.0476222	0.101245
ù	0.0322771	0.0517881	0.186335	0.142808	0.0596161	0.527176
n	0.0484918	0.161405	0.522084	0.12716	0.0385134	0.102345
e	0.0274988	0.100006	0.264853	0.105716	0.0492153	0.452711
a	0.102628	0.146342	0.225478	0.1976	0.119878	0.208074
n	0.0773956	0.0873138	0.123258	0.292826	0.157413	0.261793
k	0.0124655	0.0496583	0.123526	0.194674	0.181798	0.437878
ò	0.044336	0.0511263	0.0630505	0.182989	0.0470118	0.611486
r	0.0283744	0.0749804	0.0857626	0.463889	0.0994243	0.247569
a	0.0556886	0.0673066	0.122171	0.309434	0.217265	0.228135
a	0.143487	0.131217	0.147818	0.201759	0.076608	0.299111
t	0.0555659	0.062121	0.0796084	0.27175	0.25869	0.272264
s	0.0072305	0.00994898	0.0464404	0.118809	0.26176	0.555811
ù	0.0294376	0.034463	0.0345476	0.0553086	0.0850577	0.761185
n	0.0317146	0.0692714	0.0704606	0.162778	0.267634	0.398141
n	0.0079216	0.0123368	0.0414439	0.0864093	0.281152	0.570736
i	0.0323595	0.0326621	0.0360758	0.0790611	0.0936932	0.726148
t	0.0840437	0.0852046	0.0852532	0.0955245	0.178981	0.470993
i	0.019524	0.0176664	0.0206669	0.0393008	0.19701	0.705832
</S>	0.0577847	0.0620409	0.0580606	0.0697304	0.305764	0.446619
