 	Valeria	legge	il	giornale	</S>
e	0.877239	0.0562898	0.0225235	0.0192705	0.0246775
V	0.85435	0.0380471	0.02659	0.0265022	0.054511
a	0.202253	0.55614	0.0134656	0.0297534	0.198388
l	0.711859	0.123554	0.0221922	0.0363873	0.106007
è	0.0969165	0.510782	0.143808	0.122256	0.126237
r	0.41574	0.525429	0.025104	0.0165904	0.0171362
i	0.143794	0.556348	0.10788	0.105511	0.0864661
a	0.143032	0.684843	0.0576319	0.0389293	0.075564
m	0.107037	0.425838	0.198333	0.0896623	0.17913
e	0.0126429	0.0565107	0.331449	0.345115	0.254283
l	0.0488633	0.0970959	0.412277	0.147167	0.294597
e	0.00671416	0.0659364	0.383041	0.416867	0.127441
t	0.0184915	0.0317553	0.392813	0.328259	0.228681
à	0.00511914	0.0151167	0.19612	0.630269	0.153375
o	0.0144927	0.0405775	0.343721	0.404377	0.196832
g	0.0155026	0.0212464	0.217592	0.358128	0.387531
i	0.00324638	0.0210236	0.192531	0.623799	0.1594
o	0.0140438	0.0146055	0.0669124	0.207484	0.696954
r	0.00824394	0.00916129	0.053687	0.329325	0.599583
n	0.00136239	0.00266626	0.0394903	0.664833	0.291648
à	0.00588783	0.00784293	0.0850187	0.413747	0.487503
l	0.0085145	0.0153435	0.0735468	0.368032	0.534563
e	0.00258305	0.00702377	0.0626854	0.627099	0.300609
</S>	0.0220611	0.0226034	0.0424167	0.315142	0.597777
