 	non	deve	magniare	la	sera	</S>
e	0.92948	0.0431258	0.00669429	0.00476375	0.00666672	0.00926926
n	0.629906	0.259683	0.0108057	0.00738785	0.0377352	0.0544818
è	0.140538	0.411788	0.170464	0.018031	0.0957008	0.163478
n	0.181088	0.751139	0.0388346	0.00522364	0.0101684	0.0135465
a	0.110185	0.321404	0.376788	0.0407067	0.0365128	0.114403
f	0.0393356	0.183333	0.62935	0.0489036	0.0408793	0.0581983
à	0.0152338	0.0515613	0.308995	0.339243	0.0990181	0.185949
i	0.0162362	0.0540666	0.307945	0.529728	0.0249898	0.0670336
t	0.0188283	0.0363707	0.11309	0.654375	0.123074	0.0542628
o	0.0118141	0.0187411	0.106996	0.32359	0.184488	0.354372
v	0.0063363	0.0135048	0.0172728	0.0544532	0.77951	0.128923
r	0.00125687	0.00266182	0.0157088	0.100253	0.776132	0.103988
à	0.00140331	0.00294323	0.00452371	0.0161416	0.833117	0.141871
i	0.00255622	0.00613919	0.0100518	0.0434483	0.651076	0.286729
</S>	0.0088733	0.00658476	0.0102655	0.0571012	0.549308	0.367868
