 	il	muro	vuole	uno	specchio	</S>
a46	9.009724e-06	0.00017300599	0.030537948	0.5204485	0.36444628	0.08438525
a31	0.029317489	0.055777274	0.06269775	0.4686137	0.35284317	0.030750563
a24	6.664267e-09	1.6372815e-07	0.00018012736	0.7829397	0.20788293	0.008997101
a37	4.20877e-08	4.927564e-07	8.648269e-05	0.36921424	0.6128186	0.017880172
a18	1.8107756e-05	5.2093048e-05	0.00019723599	0.023884097	0.93435436	0.04149415
a20	4.3337433e-05	8.159409e-05	0.00013254718	0.011681012	0.92126054	0.06680097
a41	0.00015909105	0.00021512623	0.00019816165	0.011261826	0.910419	0.07774689
a31	0.00078692974	0.0009543037	0.0006509623	0.009800806	0.9173149	0.07049205
a11	4.8540798e-05	0.0002579511	0.0014937202	0.02967062	0.9476947	0.020834435
a31	9.439077e-05	0.00012635725	0.0001296249	0.0037052121	0.918762	0.0771823
</S>	5.738435e-06	5.072177e-05	0.0011731267	0.13414325	0.85025007	0.014377083
