 	non	ho	dove	d	andare	</S>
a20	5.8086453e-06	5.8105263e-05	0.005574712	0.008986891	0.9684373	0.016937204
a31	0.021589465	0.053098723	0.21434875	0.011571773	0.6963229	0.0030682813
a37	1.9633302e-09	2.2499917e-08	2.0372179e-06	0.00061919086	0.99806815	0.0013105839
a31	8.3486724e-05	0.00023080793	0.0012351742	0.0012708815	0.99535733	0.0018223565
a29	4.6033238e-10	4.972467e-09	4.3493316e-07	0.00042160862	0.99881506	0.0007628975
a41	7.7659206e-07	2.3827668e-06	1.5645706e-05	0.00016688481	0.99797565	0.0018386818
a31	4.7752756e-06	1.2898877e-05	6.505293e-05	0.0001669832	0.9932661	0.006484151
a18	1.4017637e-09	1.0335489e-08	3.9137353e-07	0.00018188477	0.99953055	0.00028717448
a31	2.9754045e-05	4.8922837e-05	0.00011562594	8.813168e-05	0.89386904	0.10584843
a39	4.996807e-09	3.6826883e-08	1.4043045e-06	0.0003122317	0.99935645	0.0003298991
a31	4.068738e-06	5.872223e-06	1.2421897e-05	2.5643387e-05	0.6270764	0.37287563
a8	2.539077e-07	1.6130531e-06	4.059237e-05	0.0008728124	0.9979931	0.0010916905
a31	2.025758e-07	3.3674283e-07	8.835069e-07	1.4136838e-05	0.31741807	0.6825664
a8	5.6957106e-06	2.5090852e-05	0.00034045594	0.0017115739	0.9916209	0.0062961923
</S>	5.027798e-08	9.845378e-08	3.3429956e-07	1.3297189e-05	0.28344873	0.71653754
