 	Marika	tu	hai	mangiato	</S>
a8	1.3123449e-05	0.0003690951	0.46891454	0.43719217	0.09351103
a31	0.084648214	0.53025365	0.29210857	0.0659686	0.027020918
a24	7.838668e-08	4.1148583e-06	0.49075904	0.4806242	0.028612578
a31	9.072911e-08	8.045509e-06	0.53273845	0.43809125	0.029162183
a28	1.9740027e-08	1.5890279e-06	0.4287322	0.54403514	0.027231034
a31	2.0640882e-05	0.00025017033	0.26546413	0.6711274	0.06313768
a3	7.420208e-09	1.2069012e-06	0.5960249	0.3880757	0.01589825
a18	4.0869577e-06	7.889542e-05	0.14748779	0.75067115	0.101758175
a31	5.88155e-06	9.45161e-05	0.029887961	0.61964375	0.35036796
a23	1.423065e-07	2.9172208e-05	0.7566176	0.23134315	0.012009925
a31	3.5449702e-07	3.3412382e-06	0.0009130775	0.14905782	0.85002536
a20	3.961661e-06	0.000529283	0.759943	0.21031816	0.029205604
</S>	3.433403e-08	4.4012523e-07	0.0005189973	0.096702464	0.902778
