 	Marìa	però	sta	ora	sta	seduta	nel	giardino	e	non	può	rispondere	al	telefono	non	può	parlare	al	telefono	</S>
a46	1.9610119e-10	1.4451036e-08	2.2076593e-08	2.0891882e-09	3.6856975e-09	1.07794484e-07	1.1955926e-08	3.577254e-07	8.86372e-08	1.9474213e-07	1.3072972e-07	2.4555013e-07	1.9274057e-05	0.00017920199	4.30167e-06	7.988871e-06	0.00031611972	0.8024918	0.19663891	0.00034123124
a31	2.1779828e-05	0.00024178193	0.00017501893	6.281105e-05	9.4674586e-05	6.2304774e-05	1.7402555e-05	5.199845e-05	5.729307e-05	9.41046e-05	6.583213e-05	0.00022370325	0.0007993919	0.0018455746	0.00031089858	0.00023701682	0.00019416129	0.005890486	0.9882339	0.0013199027
a20	4.321019e-12	2.4952226e-10	1.6192198e-09	3.0022033e-11	5.008649e-11	2.3440785e-08	9.158016e-09	1.632494e-07	2.925957e-08	3.753157e-08	2.876888e-08	5.551482e-09	5.3076104e-08	2.3605324e-07	6.1255555e-08	1.5812357e-07	1.8276947e-05	0.19484214	0.8050997	3.9014067e-05
a11	6.1267556e-06	6.0661594e-05	5.087299e-05	1.4443488e-05	2.1309621e-05	1.7901632e-05	5.814043e-06	1.4364433e-05	1.5299744e-05	2.3234403e-05	1.6699083e-05	4.2511245e-05	0.00012673491	0.00026757442	5.267125e-05	4.1555988e-05	3.284717e-05	0.001540516	0.9952673	0.0023816237
a29	1.3462956e-07	2.9095645e-06	4.328393e-06	4.4954606e-07	7.3924616e-07	4.1370167e-06	1.1258546e-06	5.3549134e-06	3.4680118e-06	5.0974095e-06	3.6477063e-06	5.1725633e-06	2.0954918e-05	5.9396647e-05	1.1435946e-05	1.133233e-05	3.0442769e-05	0.0062718345	0.99291927	0.00063881534
a31	5.5751207e-07	9.116607e-06	8.651505e-06	1.4410102e-06	2.487991e-06	4.1697567e-06	1.0262306e-06	3.975373e-06	2.990921e-06	4.6746427e-06	3.3237195e-06	7.1537143e-06	2.7980079e-05	7.024324e-05	1.1150742e-05	9.9599865e-06	1.5544489e-05	0.0026049577	0.9959138	0.0012967022
a0	9.861512e-12	4.80221e-10	2.5021742e-09	4.8126326e-11	8.525565e-11	2.1728459e-08	8.391155e-09	1.0996792e-07	2.2466992e-08	2.9176666e-08	2.2390076e-08	6.131108e-09	4.693289e-08	1.8602405e-07	5.0749364e-08	1.1729022e-07	8.223157e-06	0.07093155	0.9290132	4.6396708e-05
a39	1.8603453e-06	1.9101528e-05	1.4292392e-05	3.685497e-06	6.0405064e-06	4.4309977e-06	1.3339067e-06	3.4174102e-06	3.25522e-06	4.8553266e-06	3.5796293e-06	7.3058773e-06	2.2416103e-05	4.418269e-05	8.321236e-06	7.13282e-06	6.331115e-06	0.00060084707	0.99502796	0.0042095603
a31	6.023486e-07	7.3599604e-06	6.660442e-06	1.3924612e-06	2.2470215e-06	2.8075854e-06	7.375457e-07	2.4865312e-06	1.8958485e-06	2.850678e-06	2.0416599e-06	4.241082e-06	1.4163335e-05	3.377481e-05	5.7735288e-06	5.0945864e-06	7.4079653e-06	0.0013235227	0.99634856	0.0022263194
a37	3.7546757e-11	1.7498123e-09	1.01456825e-08	1.5971433e-10	3.0061467e-10	7.742008e-08	3.012641e-08	3.3958904e-07	6.7119814e-08	8.167464e-08	6.450111e-08	1.1589717e-08	7.35288e-08	2.495726e-07	7.899104e-08	2.0525816e-07	1.2105291e-05	0.047842678	0.9520596	8.4285886e-05
