 	volevo	Maria	domani	di	venire	da	me	</S>
a20	6.6019766e-07	8.025767e-06	7.868625e-05	3.3323035e-05	0.0014922924	0.3308228	0.6404601	0.027104074
a24	0.0040464476	0.011552784	0.00836738	0.001039519	0.0008649557	0.011556326	0.94242036	0.020152278
a31	1.2540894e-06	4.180868e-06	2.4012565e-05	5.478379e-06	1.6486996e-05	0.0023792163	0.9672599	0.030309428
a17	3.2271166e-09	1.8354454e-08	1.0338205e-06	1.5918062e-06	0.000113828224	0.06586553	0.9320732	0.0019448769
a31	0.0003103738	0.000710365	0.0007013696	0.000115547446	9.26853e-05	0.0015526167	0.9528244	0.04369251
a37	6.7841327e-10	3.0726064e-09	3.267234e-07	7.0539016e-07	6.639173e-05	0.05635926	0.94201005	0.0015633224
a10	5.2284402e-05	0.000108383225	0.00015898641	2.9752113e-05	2.3239107e-05	0.00058340124	0.9092269	0.089817
a31	3.2213225e-06	7.920029e-06	3.0161073e-05	8.104755e-06	1.4072319e-05	0.00090315193	0.95658743	0.042445973
a20	3.0748486e-09	1.1081513e-08	1.1367175e-06	1.9628771e-06	7.269423e-05	0.025901804	0.97138536	0.0026369833
a33	2.9205967e-05	5.4236258e-05	7.6382305e-05	1.2715375e-05	8.704282e-06	0.00026886904	0.7566167	0.24293317
a20	7.929351e-06	1.5766887e-05	1.7889683e-05	3.2157222e-06	4.188109e-06	0.00029783908	0.80888414	0.19076899
a31	7.153781e-06	1.5029837e-05	2.3907598e-05	3.993445e-06	5.931784e-06	0.00041608067	0.827336	0.17219192
a5	3.2524696e-08	1.2078019e-07	1.403233e-05	1.8080938e-05	0.0002193448	0.026792748	0.9686253	0.004330229
a17	4.92218e-07	1.4360724e-06	3.3855795e-05	1.51868e-05	3.9365652e-05	0.0049404604	0.97224873	0.022720413
a11	2.5975871e-06	5.0595454e-06	7.965675e-06	1.5830753e-06	1.9679908e-06	0.00016006078	0.6686086	0.3312122
a10	7.8513676e-07	1.931172e-06	7.945951e-06	1.7286036e-06	4.151563e-06	0.0008521332	0.8814114	0.11771994
a31	6.9356192e-06	1.6831398e-05	3.2298274e-05	6.1418705e-06	9.902059e-06	0.0007210652	0.8368656	0.16234118
a24	5.256741e-07	2.2157622e-06	0.0003552745	0.0002450764	0.00072471815	0.02883433	0.9599135	0.009924304
a46	1.0926319e-06	3.0553454e-06	2.4633096e-05	6.2116837e-06	1.7318791e-05	0.0029022738	0.9302323	0.06681313
a20	9.375756e-07	1.9797358e-06	4.651592e-06	2.0329944e-06	4.6996374e-06	0.0003628642	0.62137866	0.3782442
a31	1.5339018e-07	4.573816e-07	2.8968893e-06	1.6851702e-06	6.956915e-06	0.0008512507	0.80588776	0.19324885
a20	1.4247569e-06	5.8629894e-06	0.0006995966	0.00027324265	0.0004670547	0.01791332	0.9636611	0.016978461
a31	3.8014907e-08	9.4541846e-08	9.2751225e-07	8.601474e-07	3.5480186e-06	0.00041851355	0.5357454	0.46383065
</S>	7.539686e-07	2.6601626e-06	0.00027516606	0.00010110232	0.00017656956	0.011431523	0.9699088	0.018103456
