 	non	aveva	cosa	a	fare	</S>
a31	6.403998e-07	3.6262838e-05	0.00067765574	0.71408325	0.21751848	0.06768373
a18	9.659575e-08	2.5039303e-06	3.169259e-05	0.11893243	0.8221108	0.058922447
a24	4.4426633e-05	0.00014321768	0.00016235933	0.0044431337	0.50166136	0.49354553
a20	1.1721216e-07	9.676692e-07	1.8722172e-06	0.0019313864	0.661811	0.3362547
a31	0.00050612603	0.0007090698	0.0003244374	0.0025527622	0.28650868	0.7093989
a18	8.391884e-09	4.826077e-07	8.663355e-06	0.039127734	0.89835554	0.06250753
a31	2.8958277e-05	4.4690194e-05	1.8899374e-05	0.0004082148	0.18851055	0.8109887
a17	7.3066775e-09	5.4033876e-07	8.757171e-06	0.034736507	0.8969097	0.068344526
a20	2.9883297e-06	5.09874e-06	2.6600537e-06	0.00020733241	0.22071849	0.77906346
a31	4.3839196e-07	1.3240892e-06	1.0778864e-06	0.00015974035	0.2261132	0.7737242
</S>	2.5234482e-07	1.4287944e-05	7.538756e-05	0.03890712	0.85246754	0.108535446
